configuration_id,layer,head,baseline_token_exact,intervened_token_exact,token_delta,baseline_mean_margin,intervened_mean_margin,margin_delta,intervened_mean_rank,intervened_mean_nll,intervened_margin_q10,finite
L19_SEED_4,8,0,116,110,-6,3.23538,3.24584,0.0104531,1.60417,1.02505,-7.32335,true
L19_SEED_4,8,1,116,110,-6,3.23538,3.22723,-0.0081507,1.59722,1.00827,-7.19473,true
L19_SEED_4,9,0,116,116,0,3.23538,3.22887,-0.00651775,1.56944,1.02045,-7.34781,true
L19_SEED_4,9,1,116,116,0,3.23538,3.24812,0.0127363,1.54861,0.994303,-7.08173,true
L19_SEED_4,11,0,116,116,0,3.23538,3.27612,0.0407324,1.55556,0.987116,-7.17117,true
L19_SEED_4,11,1,116,115,-1,3.23538,3.22786,-0.00752496,1.52083,0.938404,-6.63842,true
L19_SEED_4,12,0,116,115,-1,3.23538,3.21178,-0.0235999,1.56944,1.01114,-7.32101,true
L19_SEED_4,12,1,116,116,0,3.23538,3.20497,-0.0304148,1.54861,0.994347,-6.98803,true
L19_SEED_4,13,0,116,110,-6,3.23538,3.2271,-0.00828451,1.60417,1.02314,-7.32623,true
L19_SEED_4,13,1,116,115,-1,3.23538,3.19917,-0.0362135,1.55556,0.99249,-6.97289,true
L19_SEED_4,14,0,116,116,0,3.23538,3.23028,-0.00510507,1.57639,1.01921,-7.36209,true
L19_SEED_4,14,1,116,116,0,3.23538,3.22489,-0.0104927,1.56944,0.999179,-7.17362,true
L19_SEED_4,15,0,116,117,1,3.23538,3.27445,0.039069,1.55556,0.970375,-7.17141,true
L19_SEED_4,15,1,116,116,0,3.23538,3.26305,0.0276638,1.55556,0.983199,-7.06291,true
L19_SEED_4,16,0,116,116,0,3.23538,3.26779,0.0324031,1.5625,0.961827,-7.09222,true
L19_SEED_4,16,1,116,116,0,3.23538,3.23881,0.00342884,1.5625,1.00179,-7.19915,true
L19_SEED_4,17,0,116,116,0,3.23538,3.25655,0.021164,1.55556,0.991776,-7.09541,true
L19_SEED_4,17,1,116,116,0,3.23538,3.25342,0.0180359,1.54167,0.98309,-6.97338,true
L19_SEED_4,18,0,116,116,0,3.23538,3.20392,-0.031466,1.56944,1.01258,-7.29549,true
L19_SEED_4,18,1,116,116,0,3.23538,3.2341,-0.00128936,1.57639,1.02132,-7.32917,true
L18_SEED_2_CONTROL,1,0,110,105,-5,2.72626,2.62542,-0.100838,1.38194,0.876299,-4.70588,true
L18_SEED_2_CONTROL,1,1,110,108,-2,2.72626,2.63327,-0.0929883,1.34722,0.790089,-4.43648,true
L18_SEED_2_CONTROL,4,0,110,103,-7,2.72626,2.69258,-0.033677,1.38194,0.781745,-4.45281,true
L18_SEED_2_CONTROL,4,1,110,110,0,2.72626,2.6964,-0.0298597,1.34028,0.79317,-4.5344,true
L18_SEED_2_CONTROL,6,0,110,110,0,2.72626,2.68393,-0.0423338,1.32639,0.796879,-4.55335,true
L18_SEED_2_CONTROL,6,1,110,107,-3,2.72626,2.70242,-0.0238369,1.34722,0.772271,-4.43292,true
