configuration_id,layer,head,mean_entropy,entropy_p10,entropy_p90,mean_max_weight,mean_self_weight,mean_prev_weight,mean_top1_minus_top2,head_pair_cosine,case_variance_entropy,case_variance_max_weight,low_margin_entropy,high_margin_entropy,low_margin_max_weight,high_margin_max_weight,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
L19_SEED_1,17,1,1.95821,1.79326,2.07559,0.202433,0.0779637,0.159379,0.0099002,0.746311,0.010781,0.00220755,1.9799,1.95786,0.195745,0.201358,0.0779637,0.159379,0.131713,0.126744,0.109391,0.13935,0.123722,0.131737
L19_SEED_1,18,0,1.91791,1.71639,2.05931,0.226254,0.144269,0.161571,0.0242164,0.742117,0.0270638,0.00503681,1.96413,1.96037,0.217861,0.196458,0.144269,0.161571,0.0979499,0.10486,0.134642,0.139537,0.115902,0.101269
L19_SEED_1,18,1,1.90638,1.6684,2.07169,0.234012,0.117526,0.115434,0.0249424,0.742117,0.0208616,0.00477479,1.91788,1.90895,0.228665,0.22395,0.117526,0.115434,0.134026,0.130678,0.109898,0.126803,0.127527,0.138108
L19_SEED_2,1,0,1.98504,1.81372,2.07687,0.19378,0.184202,0.105275,0.0118852,0.81568,0.014073,0.0039404,2.02944,2.01433,0.178071,0.173274,0.184202,0.105275,0.111655,0.108408,0.1634,0.100972,0.119812,0.106276
L19_SEED_2,1,1,1.99045,1.82676,2.07597,0.191109,0.0990818,0.142468,0.0178138,0.81568,0.0200984,0.00467168,2.00331,1.98509,0.191741,0.18466,0.0990818,0.142468,0.146709,0.111857,0.12245,0.125034,0.129706,0.122694
L19_SEED_2,4,0,2.01007,1.88976,2.0734,0.191745,0.115415,0.142789,0.0210358,0.880457,0.00447628,0.00203836,1.98,2.02412,0.211431,0.181319,0.115415,0.142789,0.125111,0.100435,0.129439,0.12732,0.12674,0.132751
L19_SEED_2,4,1,1.9978,1.82669,2.07181,0.185149,0.143592,0.0900676,0.01258,0.880457,0.00910546,0.00184207,2.01079,2.00838,0.17713,0.182956,0.143592,0.0900676,0.157361,0.117964,0.124878,0.104148,0.150371,0.111618
L19_SEED_2,7,0,2.01731,1.93429,2.07643,0.18434,0.0932926,0.144212,0.0140463,0.870064,0.00364252,0.00181397,2.0201,2.0238,0.184394,0.179622,0.0932926,0.144212,0.12362,0.136108,0.112023,0.136314,0.123638,0.130793
L19_SEED_2,7,1,1.88496,1.54002,2.06867,0.241227,0.0859652,0.15522,0.0354951,0.870064,0.0310788,0.00653701,1.8344,1.88582,0.260537,0.232251,0.0859652,0.15522,0.121712,0.11011,0.122861,0.125398,0.131651,0.147082
L19_SEED_2,8,0,1.78574,1.27137,2.05145,0.288378,0.0967886,0.119393,0.0851267,0.866908,0.0897587,0.020593,1.67315,1.8635,0.382047,0.227611,0.0967886,0.119393,0.148118,0.0813481,0.118581,0.125223,0.134056,0.176492
