arm,seed,start_step,step,val_bpb,dev_bpb,balanced_bpb,val_bits_per_token,dev_bits_per_token,val_nll,dev_nll,val_tokens,dev_tokens,val_target_utf8_bytes,dev_target_utf8_bytes,eval_finite
control,1,2000,2050,2.471162311,2.7362846,2.603723456,6.433106379,6.517715014,4.459089549,4.517735786,8192,8192,21326,19513,true
control,1,2000,2100,2.472646024,2.731959751,2.602302887,6.436968885,6.507413405,4.461766834,4.510595255,8192,8192,21326,19513,true
control,1,2000,2250,2.461294184,2.713233033,2.587263608,6.407416964,6.462807149,4.441283003,4.479676554,8192,8192,21326,19513,true
control,1,2000,2500,2.440869537,2.730184507,2.585527022,6.354246064,6.503184849,4.404427744,4.507664243,8192,8192,21326,19513,true
candidate,1,2000,2050,2.471530529,2.736133959,2.603832244,6.43406495,6.517356195,4.45975398,4.517487071,8192,8192,21326,19513,true
candidate,1,2000,2100,2.473358233,2.732447084,2.602902659,6.438822958,6.508574214,4.463051979,4.511399866,8192,8192,21326,19513,true
candidate,1,2000,2250,2.459350006,2.71029075,2.584820378,6.40235574,6.455798755,4.43777483,4.474818705,8192,8192,21326,19513,true
candidate,1,2000,2500,2.436172649,2.723290751,2.5797317,6.342018789,6.486764213,4.395952443,4.496282325,8192,8192,21326,19513,true
