"configuration_id","condition","dose_percent","attention_output_norm","attention_entropy","attention_self_mass","attention_previous_mass","attention_far_mass","attention_nonself_mass","ordinary_attention_active"
"L19_SEED_1","CANONICAL_HOMOGENEOUS","0","2.596293709928494","1.1860676200950577","0.35489674577849006","0.22090047260534146","0.42420278185529442","0.64510325422150994","true"
"L19_SEED_1","MATCHED_HOMOGENEOUS","25","2.0999471223392367","1.1573670740006996","0.32297325703338309","0.23184172795127214","0.44518501501195845","0.67702674296661691","true"
"L19_SEED_1","MIXED_INVARIANCE","25","1.2120055001865779","1.1630747521259095","0.35268697537748872","0.22818916341691886","0.41912386103890809","0.64731302462251128","true"
"L19_SEED_2","CANONICAL_HOMOGENEOUS","0","2.896878345216102","1.1997686559508536","0.33937976534874059","0.22196892689430703","0.43865130829684912","0.66062023465125941","true"
"L19_SEED_2","MATCHED_HOMOGENEOUS","25","2.2912640963761164","1.1507527695963984","0.33363726945051297","0.22617984706312971","0.44018288335799022","0.66636273054948703","true"
"L19_SEED_2","MIXED_INVARIANCE","25","1.5304177955664153","1.1133749233343577","0.34637556826230559","0.2207443532178659","0.43288007849305277","0.65362443173769436","true"
"L19_SEED_4","CANONICAL_HOMOGENEOUS","0","2.8280309659817529","1.1141156378714003","0.36555360924035118","0.20011044287771776","0.43433594829650135","0.63444639075964882","true"
"L19_SEED_4","MATCHED_HOMOGENEOUS","25","1.9768593443726223","1.1522700372687287","0.33704116514489491","0.21736735012566835","0.44559148477860311","0.66295883485510509","true"
"L19_SEED_4","MIXED_INVARIANCE","25","1.2605326699561308","1.1866025201706965","0.36367790387108651","0.20483467974816211","0.43148741603692142","0.63632209612891344","true"
"L18_SEED_2_CONTROL","CANONICAL_HOMOGENEOUS","0","2.6589239634771769","1.2089933338066639","0.33000638836778085","0.22803824280273075","0.44195536843507049","0.66999361163221915","true"
"L18_SEED_2_CONTROL","MATCHED_HOMOGENEOUS","25","2.2733625746637829","1.1174396421123542","0.37003590844540413","0.20233858024297527","0.42762551052213099","0.62996409155459554","true"
"L18_SEED_2_CONTROL","MIXED_INVARIANCE","25","1.6066505010103427","1.1132989576969361","0.3611426611397448","0.2109930900890846","0.4278642487311054","0.63885733886025531","true"
"L19_SEED_1","CURRICULUM_MIXED_FIRST","25","1.5499813046179149","1.0924676836401397","0.33722780245696343","0.24183663200978581","0.42093556534879878","0.66277219754303651","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","25","1.0073174948572789","1.1245465365883036","0.32127750993132492","0.24960011509807351","0.42912237519133184","0.67872249006867502","true"
"L19_SEED_2","CURRICULUM_MIXED_FIRST","25","2.0249155780895802","1.0783662968034147","0.34053906882578544","0.24635947579270986","0.41310145471880294","0.65946093117421412","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","25","1.1241044747400457","1.1190732972072328","0.33978963980393145","0.22618989972880155","0.43402046013043433","0.66021036019606849","true"
"L19_SEED_4","CURRICULUM_MIXED_FIRST","25","1.463883851628224","1.149291523524979","0.35380471289029997","0.20519456486640467","0.44100072186578992","0.64619528710969998","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","25","1.2597541265311001","1.1098883210751351","0.34112689606507646","0.22273425009570638","0.43613885394178553","0.65887310393492349","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_FIRST","25","2.1847751251405763","1.0552887518861018","0.32432957439285892","0.24998462288822643","0.42568580299351932","0.67567042560714075","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","25","1.1978755510391461","1.1465286204143463","0.36456560115395337","0.20863947122167892","0.42679492754833176","0.63543439884604658","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","12.5","0.96350385064311939","1.1016336310281531","0.31481894722298004","0.25150329257503973","0.43367775957218535","0.68518105277701991","true"
"L19_SEED_1","CURRICULUM_MIXED_LAST","6.25","1.1570542559692423","1.1649359842557168","0.3318598422390327","0.24225884558575558","0.42588131185413175","0.66814015776096725","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","12.5","1.1402563473358285","1.1115586053837527","0.31678315530719647","0.23171281460849238","0.45150403005678535","0.68321684469280353","true"
"L19_SEED_2","CURRICULUM_MIXED_LAST","6.25","1.3598752072685079","1.1766525179656859","0.38773954263859578","0.17530972517031401","0.43695073196607803","0.61226045736140422","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","12.5","1.2452357010198536","1.1882905971103539","0.35142774857950554","0.20845439998017978","0.44011785139260456","0.64857225142049446","true"
"L19_SEED_4","CURRICULUM_MIXED_LAST","6.25","1.1696148434099898","1.2215028229040819","0.36437779664160913","0.20426530403894547","0.43135689904303481","0.63562220335839092","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","12.5","1.3524258232726099","1.1397626957402958","0.35857573048177355","0.20820149627859016","0.43322277347538557","0.6414242695182264","true"
"L18_SEED_2_CONTROL","CURRICULUM_MIXED_LAST","6.25","1.2761163375778308","1.1786168498290852","0.35975416993448561","0.20301135345965546","0.43723447653312897","0.64024583006551439","true"
