"condition","dose_percent","seed_count","token_mean","token_variance","token_range","sequence_mean","sequence_variance","sequence_range"
"CANONICAL_HOMOGENEOUS","0","3","46.333333333333336","181.55555555555554","33","4.666666666666667","3.5555555555555554","4"
"CURRICULUM_MIXED_FIRST","25","3","143","2","3","23.666666666666668","0.22222222222222224","1"
"CURRICULUM_MIXED_LAST","12.5","3","112.33333333333333","1.5555555555555556","3","17.666666666666668","0.22222222222222224","1"
"CURRICULUM_MIXED_LAST","25","3","144","0","0","24","0","0"
"CURRICULUM_MIXED_LAST","6.25","3","50","88.66666666666667","23","4.333333333333333","5.5555555555555545","5"
"MATCHED_HOMOGENEOUS","25","3","71.66666666666667","622.2222222222223","60","11.333333333333334","13.555555555555555","9"
"MIXED_INVARIANCE","25","3","141.33333333333334","14.222222222222223","8","23.666666666666668","0.22222222222222224","1"
