"configuration_id","depth","seed","condition","dose_percent","dataset","steps","example_count","special_example_count","train_finite","final_train_loss","teacher_token_exact","teacher_token_total","teacher_nll","teacher_margin_q10","free_token_exact","free_token_total","free_sequence_exact","free_sequence_total","free_nll","median_first_error","free_margin_q10","ordinary_attention_active","all_finite"
"L19_SEED_1","19","1","CURRICULUM_MIXED_FIRST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.001760668121278286","144","144","0.023264663327294082","2.2255442823682512","144","144","24","24","0.023264663327294082","5","2.2757222811381022","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_FIRST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.001760668121278286","32","32","0.0020420168849011877","5.7503433227539062","32","32","4","4","0.0020420168849011877","9","5.7720357179641724","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.050441406667232513","144","144","0.059110974035140415","1.9708465848650252","144","144","24","24","0.059110974035140415","5","1.9858025232950847","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.050441406667232513","32","32","0.04654446462295414","2.2575497627258301","32","32","4","4","0.04654446462295414","9","2.2705163955688477","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_FIRST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0014823589008301497","143","144","0.019418582442341934","2.8551585333687917","141","144","23","24","0.2136575544627097","5","0.47725604375203451","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_FIRST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0014823589008301497","32","32","0.0021537292232801097","5.9799458185831709","32","32","4","4","0.0021537292232801097","9","6.0404963493347168","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.044714182615280151","144","144","0.046253807096527134","2.0123008659907748","144","144","24","24","0.046253807096527134","5","2.0530804951985675","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.044714182615280151","32","32","0.033136707110775043","2.9591180483500161","32","32","4","4","0.033136707110775043","9","2.965362548828125","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_FIRST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0010312467347830534","144","144","0.0043656219840960686","4.1890999249049594","144","144","24","24","0.0043656219840960686","5","4.2310759226481123","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_FIRST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0010312467347830534","32","32","0.0015438484817155707","6.050722599029541","32","32","4","4","0.0015438484817155707","9","6.0643129348754883","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.069312654435634613","144","144","0.06444124681593183","1.6266819408961706","144","144","24","24","0.064441246815931844","5","1.6875306447347005","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.069312654435634613","32","32","0.04113285077604506","2.8242476781209311","32","32","4","4","0.04113285077604506","9","2.8356215953826904","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_FIRST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.0019734217785298824","144","144","0.01446039121283872","2.6421922274998257","144","144","24","24","0.01446039121283872","5","2.7036088307698569","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_FIRST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.0019734217785298824","32","32","0.0028684627731337398","5.5951374371846514","32","32","4","4","0.0028684627731337398","9","5.5964119434356689","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","25","AR_DEVELOPMENT_V3","320","320","80","true","0.11411293596029282","144","144","0.069113177569972428","1.6136139460972376","144","144","24","24","0.069113177569972428","5","1.6513175646464029","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","25","HOMOGENEOUS_PHASE0","320","320","80","true","0.11411293596029282","32","32","0.046541141402277053","2.263153076171875","32","32","4","4","0.046541141402277053","9","2.3051455020904541","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","12.5","AR_DEVELOPMENT_V3","320","320","40","true","0.6791490912437439","134","144","0.43397435424035669","-0.023531505039760044","112","144","17","24","1.4479950571499307","5","-7.5063070103526117","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","12.5","HOMOGENEOUS_PHASE0","320","320","40","true","0.6791490912437439","30","32","0.3895790002076977","0.14897410074869791","25","32","3","4","1.3545292685876575","9","-6.3643730878829956","true","true"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","6.25","AR_DEVELOPMENT_V3","320","320","20","true","4.036491870880127","89","144","1.7375241507949613","-6.4011328901563376","51","144","6","24","4.5341312857477947","2","-12.083267688751221","true","true"
