configuration_id,layer,sigma_min,sigma_max,condition_double,condition_float,math_rank,float_rank,effective_rank,participation_ratio,frobenius_norm,spectral_norm,determinant_sign,log_abs_determinant
L19_SEED_4,16,0.00430418234767,0.83793024683,194.678,194.678,16,16,11.9816,5.84206,1.46031585582,0.83793024683,1,-27.8998332587
L19_SEED_4,17,0.00264488025986,0.995999583395,376.576,376.576,16,16,11.44,4.25903,1.50421457762,0.995999583395,-1,-28.7897037141
L19_SEED_4,18,0.0116136554586,0.700530874787,60.3196,60.3196,16,16,12.6083,7.06446,1.40296396193,0.700530874787,1,-25.3309596825
L18_SEED_2_CONTROL,1,0.0168407868881,0.569262985044,33.8026,33.8026,16,16,12.7351,7.51087,1.19844707246,0.569262985044,1,-27.1243665087
L18_SEED_2_CONTROL,4,0.0280199144835,0.551070149016,19.6671,19.6671,16,16,12.952,7.90695,1.22313102247,0.551070149016,1,-26.0712245174
L18_SEED_2_CONTROL,6,0.0347941335531,0.701425780172,20.1593,20.1593,16,16,12.482,6.29015,1.31612523944,0.701425780172,-1,-25.8521131759
L18_SEED_2_CONTROL,8,0.0026399062461,0.731000772581,276.904,276.904,16,16,12.4609,6.86403,1.38598392654,0.731000772581,1,-27.177570865
L18_SEED_2_CONTROL,10,0.00819917971592,0.732242112653,89.3068,89.3068,16,16,12.2406,6.21545,1.30898475061,0.732242112653,1,-27.6383964199
L18_SEED_2_CONTROL,11,0.00230249806261,0.772527016514,335.517,335.517,16,16,11.6326,6.183,1.43249059351,0.772527016514,-1,-29.1654422579
L18_SEED_2_CONTROL,12,0.0064576678075,0.827752503093,128.181,128.181,16,16,11.9428,4.98869,1.34465850446,0.827752503093,1,-28.0600076448
L18_SEED_2_CONTROL,13,0.00782013494034,0.821190212367,105.01,105.01,16,16,12.0413,5.64021,1.41673867157,0.821190212367,-1,-26.8968621026
L18_SEED_2_CONTROL,14,0.00892529589975,0.849747586808,95.2067,95.2067,16,16,11.2788,4.78156,1.50061703389,0.849747586808,-1,-27.9714414328
L18_SEED_2_CONTROL,15,0.00950869530257,0.908015989263,95.4932,95.4932,16,16,11.8615,4.98459,1.46043479566,0.908015989263,-1,-26.9055970681
L18_SEED_2_CONTROL,16,0.0106084562155,0.895317265805,84.3966,84.3966,16,16,12.0755,5.27234,1.48667127262,0.895317265805,-1,-25.8279743797
L18_SEED_2_CONTROL,17,0.00265205672647,0.911488048062,343.691,343.691,16,16,11.9094,5.10073,1.52662307388,0.911488048062,1,-26.8918589656
