report,checkpoint_step,prefix_index,top1_margin_cpu,top1_margin_htp,top2_margin_cpu,top2_margin_htp,topk_set_overlap,topk_set_size,topk_order_match,last_argmax_match,decision_ambiguous,row_degenerate,candidate_legacy,candidate_prob,candidate_shape,candidate_decision,candidate_full
seed1-l19-greedy-step320-max64-result.txt,320,0,0.2091631889,0.2109375,0.7081661224,0.70703125,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,1,0.4001832008,0.40234375,0.4805641174,0.48046875,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,2,0.1873779297,0.1875,0.2901759148,0.28515625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,3,0.3350901604,0.33203125,0.4003715515,0.3984375,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,4,0.3149580956,0.3125,0.4431147575,0.44140625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,5,1.769927979,1.7734375,1.993926525,1.99609375,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,6,0.2089152336,0.2109375,0.4783215523,0.48046875,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,7,3.344790936,3.34375,3.414955139,3.4140625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,8,0.04457187653,0.046875,0.8300971985,0.83203125,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,9,1.760234833,1.7578125,2.174619198,2.171875,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,10,2.069200516,2.0703125,2.388589382,2.390625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,11,0.2396305799,0.2275390625,0.2418988943,0.2431640625,5,5,true,true,false,false,true,true,false,true,false
seed1-l19-greedy-step320-max64-result.txt,320,12,0.2160167694,0.21484375,0.2379312515,0.23828125,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,13,1.628838062,1.6328125,1.692751408,1.6953125,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,14,1.546927452,1.5390625,1.818408012,1.81640625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,15,1.265949726,1.265625,1.548318148,1.546875,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,16,2.43591404,2.4375,2.468796253,2.47265625,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,17,0.1834893227,0.18359375,0.332880497,0.333984375,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,18,0.03543257713,0.033203125,0.1817593575,0.1796875,5,5,true,true,false,false,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,19,0.06445431709,0.068359375,0.1295053959,0.130859375,5,5,true,true,false,false,true,true,true,true,true
