report,checkpoint_step,prefix_index,probability_max_abs_error,probability_mean_abs_error,probability_l1_error,probability_js_divergence
seed1-l19-greedy-step320-max64-result.txt,320,4,0.0003968030214,5.707058008e-06,0.001151284124,2.623837354e-07
seed1-l19-greedy-step320-max64-result.txt,320,5,0.002114295959,6.639911706e-06,0.001784480416,5.506609856e-07
seed1-l19-greedy-step320-max64-result.txt,320,6,0.002344846725,6.955315923e-06,0.0008604269573,1.470358962e-07
seed1-l19-greedy-step320-max64-result.txt,320,7,0.002449333668,6.582107284e-06,0.0007939171896,2.134757516e-07
seed1-l19-greedy-step320-max64-result.txt,320,8,0.001471698284,6.568304084e-06,0.001163366425,2.31189181e-07
seed1-l19-greedy-step320-max64-result.txt,320,9,0.001718223095,6.748663551e-06,0.001379666019,3.840066651e-07
seed1-l19-greedy-step320-max64-result.txt,320,10,0.00129917264,6.147910434e-06,0.0005913267284,1.406451013e-07
seed1-l19-greedy-step320-max64-result.txt,320,11,0.0008292719722,8.678505875e-06,0.006470928166,6.188643657e-06
seed1-l19-greedy-step320-max64-result.txt,320,12,0.001520901918,6.215379866e-06,0.001132002846,2.504429637e-07
seed1-l19-greedy-step320-max64-result.txt,320,13,0.001635313034,6.375843966e-06,0.001292098499,2.620655277e-07
seed1-l19-greedy-step320-max64-result.txt,320,14,0.00185585022,6.740393785e-06,0.003110964345,1.625746061e-06
seed1-l19-greedy-step320-max64-result.txt,320,15,0.001653254032,6.44202547e-06,0.001005153062,2.300197295e-07
seed1-l19-greedy-step320-max64-result.txt,320,16,0.001002669334,5.687530651e-06,0.0008653911115,1.590345534e-07
seed1-l19-greedy-step320-max64-result.txt,320,17,0.0003170892596,5.756325579e-06,0.001404772308,4.071554304e-07
seed1-l19-greedy-step320-max64-result.txt,320,18,0.0016746521,6.777622224e-06,0.0008530857215,1.547309172e-07
seed1-l19-greedy-step320-max64-result.txt,320,19,0.0002838671207,5.724295285e-06,0.00148256077,3.971562199e-07
