report,checkpoint_step,generate_mode,prefix_index,label,logits_max_abs_error,logits_mean_abs_error,logits_rms_error,logits_max_relative_error,logits_cosine_similarity,logits_cpu_min,logits_cpu_max,logits_cpu_rms,logits_cpu_std,logits_htp_min,logits_htp_max,logits_htp_rms,logits_htp_std,probability_max_abs_error,probability_mean_abs_error,last_argmax_match,top1_margin_cpu,top1_margin_htp,top2_margin_cpu,top2_margin_htp,topk_set_overlap,topk_set_size,delta_mean,delta_median,delta_std,probability_l1_error,probability_js_divergence,logits_cosine_centered,scale_ratio,decision_ambiguous,row_degenerate,topk_order_match,candidate_legacy,candidate_prob,candidate_shape,candidate_decision,candidate_full
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,10,control_whitespace_12,0.01566186547,0.002983572527,0.3518208436,9.365896965,0.999997643,-5.256669998,8.156358719,2.520199767,2.502959969,-5.25390625,8.1640625,2.520553235,2.503419081,0.002345591784,1.172394432e-05,true,2.821220398,2.828125,2.959651947,2.9609375,5,5,0.0008793098386,0.001075188629,0.00394803543,0.003193205104,1.73816027e-06,0.999998773,1.000183428,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,11,digits_punct_32,0.01905846596,0.002411135576,0.286694713,417.920801,0.9999993931,-4.308483601,6.540088654,2.218706362,2.085472552,-4.30859375,6.54296875,2.216964102,2.083971325,0.001526772976,8.225862913e-06,true,1.548655033,1.55078125,1.928282738,1.93359375,5,5,0.0009704257754,0.001216053963,0.002462676192,0.001997037011,7.358794908e-07,0.9999995615,0.9992801503,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,12,utf8_emoji_16,0.02947807312,0.003475958199,0.455868098,37.64956618,0.9999971828,-6.333703041,7.657111168,2.466869798,2.343025656,-6.328125,7.6484375,2.464741639,2.340587265,0.001880958676,1.166444555e-05,true,1.712921143,1.7109375,1.861317158,1.859375,5,5,-0.0005991580692,-0.0008261799812,0.003978789281,0.001274101083,3.923992929e-07,0.9999990987,0.9989592985,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,13,katakana_12,0.0428122282,0.003297480731,0.4891256605,9.365896965,0.999997337,-4.256851673,4.202301502,2.099988748,1.844117366,-4.265625,4.23828125,2.091859798,1.838108426,0.004197686911,1.370968659e-05,true,0.8792386055,0.880859375,0.9643042088,0.966796875,5,5,0.005964987758,0.008229672909,0.02235158692,0.02976711443,0.0001142655995,0.9999316329,0.9967415631,false,false,true,false,false,false,false,false
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,14,halfwidth_16,0.02159786224,0.002829511406,0.3379948795,9.365896965,0.9999986182,-3.382844925,5.064370155,1.61237504,1.586196176,-3.384765625,5.07421875,1.615193282,1.589333067,0.002183198929,1.035294264e-05,true,1.127454996,1.12890625,1.237224579,1.25,5,5,0.001498889073,0.001810640097,0.00539743048,0.003266705087,2.562159472e-06,0.9999961737,1.001977619,false,false,true,true,true,false,true,false
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,15,pseudo_random_32,0.01557636261,0.002482337255,0.2840165458,25.41463829,0.9999988823,-6.552755833,8.007972717,2.690492318,2.647026624,-6.5546875,8.0078125,2.690587052,2.647062285,0.001426592469,7.653053012e-06,true,1.620738983,1.62109375,1.744585514,1.7421875,5,5,-0.0003330868822,-0.0004157721996,0.001927844729,0.0009748696286,2.071959947e-07,0.9999997349,1.000013472,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,16,hiragana_9,0.01982975006,0.002610560985,0.3124965448,9.365896965,0.9999987204,-5.104092121,4.220297337,2.857144462,2.515768979,-5.109375,4.21875,2.859498651,2.517237405,0.001221835613,1.034874814e-05,true,0.4851927757,0.478515625,0.4865934849,0.48046875,5,5,-0.002238190478,-0.001953840256,0.003876764792,0.002466760906,1.226999876e-06,0.9999989836,1.000583689,false,false,false,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,17,lowercase_31p,0.0139541626,0.002474909775,0.2905312873,1.77400094,0.9999993989,-5.757220268,8.793560028,3.254340085,3.253132925,-5.7578125,8.796875,3.255329605,3.25409276,0.0009371489286,8.950402602e-06,true,1.019950867,1.01953125,1.548539162,1.55078125,5,5,0.001096568551,0.00105150044,0.002843923353,0.00171889703,7.033649203e-07,0.9999996615,1.000295049,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,18,invalid_utf8_34,0.02651697397,0.003737613211,0.4761516494,8.90735492,0.999998701,-6.120547295,8.006367683,2.641987611,2.573206567,-6.12109375,8.0078125,2.643262216,2.57486437,0.002916961908,1.115353564e-05,true,0.9650959969,0.9609375,2.737034798,2.734375,5,5,0.001502820799,0.001945257187,0.003308444255,0.002075668523,6.400669781e-07,0.9999993814,1.000644256,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-result.txt,1000,greedy,19,leading_ff_8,0.01514101028,0.002622147224,0.3035791255,9.365896965,0.9999984619,-4.2715168,4.560374737,2.318246394,2.02433732,-4.2734375,4.56640625,2.321121405,2.026827506,0.0008703172207,1.05027358e-05,true,0.02396392822,0.02734375,0.1895012856,0.19140625,5,5,-0.001437498575,-0.002353608608,0.003179559558,0.001443639447,5.239053495e-07,0.9999995237,1.001230124,false,false,true,true,true,true,true,true
