report,checkpoint_step,prefix_index,cpu_logits_std,htp_logits_std,cpu_logits_rms,htp_logits_rms,scale_ratio
seed1-l19-greedy-step320-max64-result.txt,320,6,2.151061085,2.15085829,2.214342528,2.214174497,0.9999057229
seed1-l19-greedy-step320-max64-result.txt,320,7,3.386527986,3.383614489,3.786896473,3.783578761,0.9991396801
seed1-l19-greedy-step320-max64-result.txt,320,8,2.534753664,2.5357702,2.705427375,2.706478253,1.00040104
seed1-l19-greedy-step320-max64-result.txt,320,9,2.788257957,2.787880059,3.170260764,3.170092985,0.9998644683
seed1-l19-greedy-step320-max64-result.txt,320,10,2.908280945,2.906713726,3.075352935,3.073376231,0.9994611184
seed1-l19-greedy-step320-max64-result.txt,320,11,0.791042788,0.788830684,0.8366038588,0.8338765471,0.9972035595
seed1-l19-greedy-step320-max64-result.txt,320,12,2.828020096,2.827850729,3.099541859,3.099432027,0.999940111
seed1-l19-greedy-step320-max64-result.txt,320,13,2.636570354,2.635867384,2.968752163,2.967963886,0.9997333771
seed1-l19-greedy-step320-max64-result.txt,320,14,2.32684908,2.324206118,2.412247132,2.409283217,0.9988641454
seed1-l19-greedy-step320-max64-result.txt,320,15,1.88805362,1.888159803,2.070233118,2.070560932,1.00005624
seed1-l19-greedy-step320-max64-result.txt,320,16,2.638056336,2.638115349,2.989633609,2.98960121,1.00002237
seed1-l19-greedy-step320-max64-result.txt,320,17,1.883260665,1.884026089,1.8844466,1.885238255,1.000406436
seed1-l19-greedy-step320-max64-result.txt,320,18,1.82217593,1.821868616,1.933263723,1.93297721,0.9998313479
seed1-l19-greedy-step320-max64-result.txt,320,19,2.307563055,2.308147467,2.599981302,2.600567409,1.000253259
