seed,layers,batch_size,htp_initialize_us,graph_create_us,graph_finalize_us,first_execute_us,training_step_ms,training_total_seconds,graph_execute_count,execute_count_per_training_step
1,19,8,1964698.905,54834.218,1776214.739,13541.979,422.7792225,135.2893512,3281,3
1,6,8,635141.094,62676.823,464415.572,7407.917,156.8249191,50.1839741,2953,2
2,6,8,632637.187,61170.989,459972.604,6980.156,161.0845239,51.54704764,2953,2
4,6,8,635305.365,62092.657,464274.948,6931.77,167.4357123,53.57942795,2953,2
