arm,seed,start_step,step,val_bpb,dev_bpb,balanced_bpb,val_bits_per_token,dev_bits_per_token,val_nll,dev_nll,val_tokens,dev_tokens,val_target_utf8_bytes,dev_target_utf8_bytes,eval_finite
control,1,2000,2500,2.440869537,2.730184507,2.585527022,6.354246064,6.503184849,4.404427744,4.507664243,8192,8192,21326,19513,true
control,1,2000,3000,2.394611552,2.73104783,2.562829691,6.233823969,6.505241249,4.320957508,4.509089631,8192,8192,21326,19513,true
control,1,2000,3500,2.387691605,2.68113055,2.534411077,6.215809469,6.386340383,4.308470808,4.426673831,8192,8192,21326,19513,true
control,1,2000,4000,2.393545319,2.630420135,2.511982727,6.231048277,6.265550304,4.319033545,4.342948528,8192,8192,21326,19513,true
