"seed","initial_evaluation_loss","final_evaluation_loss","evaluation_loss_reduction_percent","initial_evaluation_accuracy","final_evaluation_accuracy","correct_probability","entropy","mean_margin","minimum_margin","finite"
"1","3.444437623","0.438405484","87.27207365","0","0.96875","0.6623001099","1.011459468","1.509643555","-0.14453125","true"
"2","3.475236416","1.417151392","59.22143929","0","0.5625","0.2704238892","1.868389604","-0.0131149292","-1.185546875","true"
"3","3.462806106","NOT_AVAILABLE","NOT_AVAILABLE","0.03125","0.375","0.1515636444","2.324434024","NOT_AVAILABLE","-0.9775390625","false"
"4","3.462253809","0.9862648249","71.5137919","0","0.8125","0.3908958435","1.551966243","0.3392333984","-0.359375","true"
"5","3.464655459","NOT_AVAILABLE","NOT_AVAILABLE","0","0.21875","0.02533912659","2.598169144","NOT_AVAILABLE","-90944","false"
