"candidate","vocabulary","mean_tokens_per_character","p95_tokens_per_character","unknown_rate","round_trip","train_only","l6_parameters","l19_parameters","protocol_hash"
"utf8_byte","256","2.5306632828832143","2.8591061125588624","0","True","True","20864","48320","sha256:ef0e2f779b6a736f9478decf52868ceae0f634f873930db68ae7266bd20bb09f"
"top_codepoint_with_unk","2048","1","1","0.005017956057711936","False","True","78208","105664","sha256:893ecfdde0d76c31088cf03f9f8dc6bdd5068f4845ab6cf899d0d4b902d40977"
