"model","layers","context","vocabulary","dimension","ffn","heads","parameters","normalization_epsilon","optimizer","learning_rate","steps","batch_chunks","checkpoint_interval","training_order_seed"
"shallow","6","32","256","16","32","2","20864","1E-05","Adam","0.003","1000","8","100","20260806"
"deep","19","32","256","16","32","2","48320","1E-05","Adam","0.003","1000","8","100","20260806"
