configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L19_SEED_1,b16_AFTER_ATTN,b16_AFTER_FFN,true,16,373004,0.00146962,0.0666946,95,94,92,95,0,0,2,-1,MIXED
L19_SEED_1,b16_AFTER_FFN,b17_AFTER_ATTN,true,16,377584,0.00161572,0.0656269,88,100,94,100,0.5,1,6,0,MIXED
L19_SEED_1,b17_AFTER_ATTN,b17_AFTER_FFN,true,16,426736,0.00148733,0.0490388,88,88,91,88,0,0,-3,0,MIXED
L19_SEED_1,b17_AFTER_FFN,b18_AFTER_ATTN,true,16,410079,0.00128546,0.046864,88,88,88,88,0,0,0,0,MIXED
L19_SEED_1,b18_AFTER_ATTN,b18_AFTER_FFN,true,16,403399,0.00101757,0.0373678,88,88,89,88,0,0,-1,0,MIXED
L19_SEED_2,EMBEDDING,b00_AFTER_ATTN,true,13,inf,0.0459559,0.315605,131,127,72,141,0,0,55,-14,INFORMATION_LOSS
L19_SEED_2,b00_AFTER_ATTN,b00_AFTER_FFN,true,16,14571.5,0.03215,0.551385,138,138,36,72,0,0,102,66,INFORMATION_LOSS
L19_SEED_2,b00_AFTER_FFN,b01_AFTER_ATTN,true,16,101611,0.0175254,0.162921,126,126,84,122,0,0,42,4,INFORMATION_LOSS
L19_SEED_2,b01_AFTER_ATTN,b01_AFTER_FFN,true,16,73551.8,0.0111644,0.398028,124,120,54,108,0,0,66,12,INFORMATION_LOSS
L19_SEED_2,b01_AFTER_FFN,b02_AFTER_ATTN,true,16,131411,0.0103212,0.114224,120,123,105,127,0,1,18,-4,INFORMATION_LOSS
L19_SEED_2,b02_AFTER_ATTN,b02_AFTER_FFN,true,16,200266,0.0150698,0.370056,119,129,19,106,0,0,110,23,INFORMATION_LOSS
L19_SEED_2,b02_AFTER_FFN,b03_AFTER_ATTN,true,16,254391,0.00894451,0.0754745,116,116,97,127,0,0,19,-11,INFORMATION_LOSS
L19_SEED_2,b03_AFTER_ATTN,b03_AFTER_FFN,true,16,36058.9,0.00505027,0.283897,119,112,87,115,0,0,25,-3,INFORMATION_LOSS
L19_SEED_2,b03_AFTER_FFN,b04_AFTER_ATTN,true,16,534714,0.0078063,0.0609527,117,106,81,111,0,0,25,-5,INFORMATION_LOSS
L19_SEED_2,b04_AFTER_ATTN,b04_AFTER_FFN,true,16,315803,0.007815,0.203394,106,124,86,129,0,1,38,-5,INFORMATION_LOSS
L19_SEED_2,b04_AFTER_FFN,b05_AFTER_ATTN,true,16,441008,0.00957831,0.0823442,103,103,97,102,0,0,6,1,INFORMATION_LOSS
