configuration_id,tap_id,tap_name,max_logit_delta,max_nll_delta,max_margin_delta,argmax_flips,rank_flips,exact_mismatch,pass
L19_SEED_1,125,b18_AFTER_FFN,4.75475705031e-07,7.35219092718e-07,8.65928164728e-07,0,0,0,true
L19_SEED_2,125,b18_AFTER_FFN,9.07812527373e-07,6.54963329794e-07,9.74602070158e-07,0,0,0,true
L19_SEED_4,125,b18_AFTER_FFN,5.16857255661e-07,6.16697627187e-07,8.84782751953e-07,0,0,0,true
L18_SEED_2_CONTROL,119,b17_AFTER_FFN,7.46395851792e-07,7.28508320336e-07,8.20955351699e-07,0,0,0,true
