configuration_id,src_tap,dst_tap,pair_kind,variant,src_probe_dev_tf_exact,transfer_dev_tf_exact,delta_vs_src,dst_probe_dev_tf_exact,delta_vs_dst
L19_SEED_1,b08_FFN_UPDATE,b08_AFTER_FFN,fine,raw,112,54,-58,111,-57
L19_SEED_1,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,norm,111,106,-5,107,-1
L19_SEED_1,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,raw,111,105,-6,107,-2
L19_SEED_1,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,norm,107,105,-2,107,-2
L19_SEED_1,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,raw,107,102,-5,107,-5
L19_SEED_1,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,norm,107,106,-1,104,2
L19_SEED_1,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,raw,107,105,-2,104,1
L19_SEED_1,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,norm,104,105,1,106,-1
L19_SEED_1,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,raw,104,105,1,106,-1
L19_SEED_1,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,norm,106,109,3,104,5
L19_SEED_1,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,raw,106,109,3,104,5
L19_SEED_1,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,norm,104,94,-10,105,-11
L19_SEED_1,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,raw,104,101,-3,105,-4
L19_SEED_1,b11_AFTER_FFN,b12_NORM1,fine,raw,105,30,-75,101,-71
L19_SEED_1,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,norm,105,102,-3,107,-5
L19_SEED_1,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,raw,105,101,-4,107,-6
L19_SEED_1,b12_NORM1,b12_ATT_UPDATE,fine,raw,101,21,-80,37,-16
L19_SEED_1,b12_ATT_UPDATE,b12_AFTER_ATTN,fine,raw,37,51,14,107,-56
L19_SEED_1,b12_AFTER_ATTN,b12_NORM2,fine,raw,107,28,-79,93,-65
L19_SEED_1,b12_AFTER_ATTN,b12_AFTER_FFN,coarse,norm,107,100,-7,104,-4
L19_SEED_1,b12_AFTER_ATTN,b12_AFTER_FFN,coarse,raw,107,108,1,104,4
L19_SEED_1,b12_NORM2,b12_FFN_UPDATE,fine,raw,93,49,-44,109,-60
L19_SEED_1,b12_FFN_UPDATE,b12_AFTER_FFN,fine,raw,109,66,-43,104,-38
L19_SEED_1,b12_AFTER_FFN,b13_AFTER_ATTN,coarse,norm,104,103,-1,99,4
L19_SEED_1,b12_AFTER_FFN,b13_AFTER_ATTN,coarse,raw,104,103,-1,99,4
L19_SEED_1,b13_AFTER_ATTN,b13_AFTER_FFN,coarse,norm,99,99,0,99,0
L19_SEED_1,b13_AFTER_ATTN,b13_AFTER_FFN,coarse,raw,99,102,3,99,3
L19_SEED_1,b13_AFTER_FFN,b14_AFTER_ATTN,coarse,norm,99,98,-1,100,-2
L19_SEED_1,b13_AFTER_FFN,b14_AFTER_ATTN,coarse,raw,99,94,-5,100,-6
L19_SEED_1,b14_AFTER_ATTN,b14_AFTER_FFN,coarse,norm,100,96,-4,98,-2
L19_SEED_1,b14_AFTER_ATTN,b14_AFTER_FFN,coarse,raw,100,92,-8,98,-6
L19_SEED_1,b14_AFTER_FFN,b15_AFTER_ATTN,coarse,norm,98,99,1,97,2
L19_SEED_1,b14_AFTER_FFN,b15_AFTER_ATTN,coarse,raw,98,99,1,97,2
L19_SEED_1,b15_AFTER_ATTN,b15_AFTER_FFN,coarse,norm,97,95,-2,97,-2
L19_SEED_1,b15_AFTER_ATTN,b15_AFTER_FFN,coarse,raw,97,97,0,97,0
L19_SEED_1,b15_AFTER_FFN,b16_NORM1,fine,raw,97,27,-70,90,-63
L19_SEED_1,b15_AFTER_FFN,b16_AFTER_ATTN,coarse,norm,97,96,-1,94,2
L19_SEED_1,b15_AFTER_FFN,b16_AFTER_ATTN,coarse,raw,97,97,0,94,3
L19_SEED_1,b16_NORM1,b16_ATT_UPDATE,fine,raw,90,12,-78,26,-14
L19_SEED_1,b16_ATT_UPDATE,b16_AFTER_ATTN,fine,raw,26,25,-1,94,-69
L19_SEED_1,b16_AFTER_ATTN,b16_NORM2,fine,raw,94,20,-74,89,-69
L19_SEED_1,b16_AFTER_ATTN,b16_AFTER_FFN,coarse,norm,94,94,0,95,-1
L19_SEED_1,b16_AFTER_ATTN,b16_AFTER_FFN,coarse,raw,94,94,0,95,-1
L19_SEED_1,b16_NORM2,b16_FFN_UPDATE,fine,raw,89,53,-36,89,-36
L19_SEED_1,b16_FFN_UPDATE,b16_AFTER_FFN,fine,raw,89,87,-2,95,-8
L19_SEED_1,b16_AFTER_FFN,b17_AFTER_ATTN,coarse,norm,95,100,5,88,12
L19_SEED_1,b16_AFTER_FFN,b17_AFTER_ATTN,coarse,raw,95,91,-4,88,3
L19_SEED_1,b17_AFTER_ATTN,b17_AFTER_FFN,coarse,norm,88,88,0,88,0
L19_SEED_1,b17_AFTER_ATTN,b17_AFTER_FFN,coarse,raw,88,88,0,88,0
L19_SEED_1,b17_AFTER_FFN,b18_NORM1,fine,raw,88,25,-63,89,-64
L19_SEED_1,b17_AFTER_FFN,b18_AFTER_ATTN,coarse,norm,88,88,0,88,0
L19_SEED_1,b17_AFTER_FFN,b18_AFTER_ATTN,coarse,raw,88,88,0,88,0
L19_SEED_1,b18_NORM1,b18_ATT_UPDATE,fine,raw,89,20,-69,16,4
L19_SEED_1,b18_ATT_UPDATE,b18_AFTER_ATTN,fine,raw,16,39,23,88,-49
L19_SEED_1,b18_AFTER_ATTN,b18_NORM2,fine,raw,88,25,-63,90,-65
L19_SEED_1,b18_AFTER_ATTN,b18_AFTER_FFN,coarse,norm,88,88,0,88,0
L19_SEED_1,b18_AFTER_ATTN,b18_AFTER_FFN,coarse,raw,88,88,0,88,0
L19_SEED_1,b18_NORM2,b18_FFN_UPDATE,fine,raw,90,26,-64,83,-57
L19_SEED_1,b18_FFN_UPDATE,b18_AFTER_FFN,fine,raw,83,55,-28,88,-33
L19_SEED_2,EMBEDDING,b00_AFTER_ATTN,coarse,norm,144,127,-17,131,-4
L19_SEED_2,EMBEDDING,b00_AFTER_ATTN,coarse,raw,144,135,-9,131,4
L19_SEED_2,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,norm,131,138,7,138,0
L19_SEED_2,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,raw,131,115,-16,138,-23
L19_SEED_2,b00_AFTER_FFN,b01_NORM1,fine,raw,138,125,-13,134,-9
L19_SEED_2,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,norm,138,126,-12,126,0
L19_SEED_2,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,raw,138,113,-25,126,-13
L19_SEED_2,b01_NORM1,b01_ATT_UPDATE,fine,raw,134,32,-102,83,-51
L19_SEED_2,b01_ATT_UPDATE,b01_AFTER_ATTN,fine,raw,83,44,-39,126,-82
L19_SEED_2,b01_AFTER_ATTN,b01_NORM2,fine,raw,126,115,-11,130,-15
L19_SEED_2,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,norm,126,120,-6,124,-4
L19_SEED_2,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,raw,126,125,-1,124,1
L19_SEED_2,b01_NORM2,b01_FFN_UPDATE,fine,raw,130,45,-85,135,-90
L19_SEED_2,b01_FFN_UPDATE,b01_AFTER_FFN,fine,raw,135,121,-14,124,-3
L19_SEED_2,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,norm,124,123,-1,120,3
L19_SEED_2,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,raw,124,112,-12,120,-8
L19_SEED_2,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,norm,120,129,9,119,10
L19_SEED_2,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,raw,120,117,-3,119,-2
L19_SEED_2,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,norm,119,116,-3,116,0
L19_SEED_2,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,raw,119,105,-14,116,-11
L19_SEED_2,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,norm,116,112,-4,119,-7
