configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,40,b05_AFTER_FFN,AFTER_FFN,5,16,100,true,29,112,119,1.29861111111,0.603903763191,1.29625317383,-2.16291562903,132,141
L19_SEED_1,41,b06_NORM1,NORM1,6,16,100,true,29,114,117,1.30555555556,0.626845778634,1.25377477966,-2.44711217218,134,140
L19_SEED_1,42,b06_ATT_UPDATE,ATT_UPDATE,6,16,25,true,30,5,3,6.65277777778,2.76663168629,-1.41781479176,-4.94537076743,38,68
L19_SEED_1,43,b06_AFTER_ATTN,AFTER_ATTN,6,16,100,true,29,109,118,1.34027777778,0.667170975488,1.18108530291,-2.55000667562,131,138
L19_SEED_1,44,b06_NORM2,NORM2,6,16,100,true,29,113,116,1.32638888889,0.680007668533,1.18873287622,-2.75536053133,132,139
L19_SEED_1,45,b06_FFN_UPDATE,FFN_UPDATE,6,16,175,true,28,113,119,1.47222222222,0.773113559889,1.00649320142,-3.45160737787,132,137
L19_SEED_1,46,b06_AFTER_FFN,AFTER_FFN,6,16,100,true,29,112,118,1.36111111111,0.664466886582,1.1728326172,-2.50938871449,130,137
L19_SEED_1,47,b07_NORM1,NORM1,7,16,100,true,28,117,123,1.27083333333,0.700916600635,1.10556703115,-2.8238163159,132,140
L19_SEED_1,48,b07_ATT_UPDATE,ATT_UPDATE,7,16,25,true,23,27,27,5.77083333333,2.47232863195,-0.933061458351,-4.06233547923,66,88
L19_SEED_1,49,b07_AFTER_ATTN,AFTER_ATTN,7,16,100,true,29,112,118,1.41666666667,0.735438246995,1.05373985194,-2.92473670835,129,133
L19_SEED_1,50,b07_NORM2,NORM2,7,16,100,true,29,109,116,1.35416666667,0.755996567072,1.04076559808,-3.12316257535,130,138
L19_SEED_1,51,b07_FFN_UPDATE,FFN_UPDATE,7,16,100,true,29,101,103,1.55555555556,0.928733067376,0.637555808208,-3.54668927672,127,136
L19_SEED_1,52,b07_AFTER_FFN,AFTER_FFN,7,16,100,true,29,112,116,1.4375,0.763776159159,1.00490370462,-3.05403580784,129,135
L19_SEED_1,53,b08_NORM1,NORM1,8,16,100,true,29,109,116,1.38888888889,0.769302353868,0.97956743148,-3.13673251454,130,135
L19_SEED_1,54,b08_CTX,CTX,8,16,50,true,30,57,55,4.5625,2.23961814043,-1.03392447542,-6.06434826598,87,92
L19_SEED_1,55,b08_ATT_UPDATE,ATT_UPDATE,8,16,25,true,27,36,30,6.06944444444,2.47340436455,-0.971636800771,-4.09939395823,56,81
L19_SEED_1,56,b08_AFTER_ATTN,AFTER_ATTN,8,16,75,true,29,112,110,1.47222222222,0.851352495077,0.773525631787,-2.96885885504,128,135
L19_SEED_1,57,b08_NORM2,NORM2,8,16,75,true,28,115,121,1.35416666667,0.824979076887,0.827398386307,-2.8697872213,128,137
L19_SEED_1,58,b08_FFN_UPDATE,FFN_UPDATE,8,16,75,true,29,103,112,1.67361111111,0.968216831772,0.641117929579,-4.01574530311,126,133
L19_SEED_1,59,b08_AFTER_FFN,AFTER_FFN,8,16,75,true,29,109,111,1.47916666667,0.861205528883,0.772507707155,-3.08816520678,126,136
L19_SEED_1,60,b08_RELU,RELU,8,32,25,true,23,15,20,6.01388888889,2.51679423743,-1.50379704764,-6.60772726097,67,93
L19_SEED_1,61,b09_NORM1,NORM1,9,16,75,true,28,115,121,1.36111111111,0.829592680784,0.815448070352,-2.91042728046,129,135
L19_SEED_1,62,b09_ATT_UPDATE,ATT_UPDATE,9,16,25,true,16,7,6,7.97916666667,2.75721970187,-1.27765893477,-4.59914002355,42,72
L19_SEED_1,63,b09_AFTER_ATTN,AFTER_ATTN,9,16,75,true,29,103,107,1.54166666667,0.93501603462,0.642342516545,-3.34981494222,125,133
L19_SEED_1,64,b09_NORM2,NORM2,9,16,75,true,28,106,114,1.44444444444,0.888984206666,0.725256157542,-3.11161345645,127,135
