configuration,seed,runs,reproduced,phase,step,tensor,qnn_return
T16_D256_FFN372_L3_H4,1,3,3,forward,32,logits,SUCCESS
T8_D16_FFN32_L19_H2,1,3,0,final_evaluation,NA,NONE,SUCCESS
T8_D16_FFN32_L19_H2,2,3,3,final_evaluation,FINAL_EVALUATION,layer_018_output,SUCCESS
