"seed","completed_step","optimizer_next_step","parameters_elements","parameters_sha256","adam_m_elements","adam_m_sha256","adam_v_elements","adam_v_sha256","input_elements","input_sha256","target_elements","target_sha256","combined_state_sha256"
"1","818","819","3136","d5e619599f49d9f44d66e3a4d11a547e812fe89dacfd3be302d013523f8b5c8b","3136","b83d8422459a1d5437d5627161b4d6dd55339eb806ec544e5a2e11201fdb1fc0","3136","5c3fde05b6219a03ac909e49c5254919c48a7821c913578ac1f67df46d78a37a","256","d85d7d14ab07879ab62b29dc0be5eef0c51d29db0a1e6050b8d7ccb080bd00f1","256","f1c1a960169be212ee9f4b5856b9add5b9f2dd5ff68b77ce962292d8e1c724cb","d259402ea3e07b6b2178115663de61274f1f8fca26d5f7cf748a7e7c6352cb0a"
"2","655","656","3136","ac6003707c5f6e398cba2ab56b798b57c90ca01384a55696e59ebe2cf0b4cd7c","3136","68503c376871eef18579306a7f8dc0e61ed04f5c06853b3f03bec1da00783fa6","3136","e2154dd7aba8246146c206f56b6421eaa5fd9e101d41910c2a95f041e8e8e453","256","a0092decd6176139ad070a45f8e5d3455e47832dee33f329aecee289eef3bead","256","f69fb27db0a1c0aff5897d5c98e23a796eadcaf01190e295675785b33297bc01","0f7a98d69a4695eb7db7db1ef5d904293c534f4b3f4eb4e3aa553785a3cd39c7"
"3","846","847","3136","94878803e0d863c9c9affd3d6d7dd94cfbe14526acebb3090205e91487a43bb7","3136","76b482731d9e5d5c1abbc927b46c84ea934bcd6ca0f565ef27e2c626fe00c4b2","3136","98b186a83cc75afd04b821aed928dab19eb2d82449f0d53d5db1ed30a4ffd6a7","256","d85d7d14ab07879ab62b29dc0be5eef0c51d29db0a1e6050b8d7ccb080bd00f1","256","f1c1a960169be212ee9f4b5856b9add5b9f2dd5ff68b77ce962292d8e1c724cb","8188c0873ed23c8216477aeaea72c1b332b7fe531f24f641357c2a597dd22981"
"4","698","699","3136","d341f392159f1e89a023fef8aa181c58357d59cd961829d4360b8c9d7d63e64b","3136","08c76afb930f8d85ea576048b100bd21122a005a5000789eeeecba348868128b","3136","bca5d761ec46b0477623e7b41c38d3c8079d3e26e282bf470a62e2e61764151b","256","d85d7d14ab07879ab62b29dc0be5eef0c51d29db0a1e6050b8d7ccb080bd00f1","256","f1c1a960169be212ee9f4b5856b9add5b9f2dd5ff68b77ce962292d8e1c724cb","f1c6cfd7baffca119a80607539f1f3bf8bc561e61bf6dc03d3c205186ebb5e4a"
"5","997","998","3136","50dd6b1bfd4e6d31e61715a6f28e0ad23acafa53891beff1f26ddcf7423c2bbf","3136","09e7b9d6067541911b32740f90314cd17fc772156f0596086a179c06f22d6fc7","3136","d147640c0bcd59156f42be3dba596c60cdbcc8f46e277f0b83937e3c4e4958fb","256","8c6b0060a25f82b75bb92a58ffff143f90570626b7d2526fbaf45b596ccfa293","256","4d35a3948005eade5d1e3cbf83c5ab6e6c47cae5740fc45ad55b43828ff007ee","7da93d4463c9c7f2208f216e228e8ea1712d2490ce9b4da877b8ee0d131476ab"
