"family_id","configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","36","49","144","7","24","2.4587800738325885","1","-3.9498670438925427","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","40","66","144","9","24","2.383101536964662","1","-4.8700369497140246","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","48","61","144","7","24","2.5004499057481069","2","-6.4869413614273075","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","56","56","144","8","24","2.862736454142039","1","-7.5770857652028401","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","64","41","144","4","24","3.318717162773444","1","-8.9957331339518234","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","80","68","144","11","24","3.2872154733433714","2","-10.159807856877645","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","96","65","144","10","24","3.7071265093404815","2","-11.707461659113566","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","128","69","144","11","24","3.9817506656279482","2","-13.010250488917032","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","160","74","144","12","24","4.0435706558278506","2","-13.889915943145752","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","192","74","144","12","24","4.3099944957912362","2","-14.576389360427857","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","224","85","144","14","24","4.0486388392871735","5","-15.157039046287537","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","256","85","144","14","24","4.1814912349305988","5","-15.673660937945048","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","288","85","144","14","24","4.3011470634403119","5","-16.143628478050232","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","304","85","144","14","24","4.3565437377048619","5","-16.362967634201048","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_1","MARGIN_DEVELOPMENT_V1","320","85","144","14","24","4.4091368079366484","5","-16.57226119041443","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","0","18","144","0","24","3.4726093235655089","1","-0.67907722592353825","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","4","14","144","0","24","3.4020706078361029","1","-0.87045658032099404","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","8","17","144","0","24","3.3429945762313342","1","-1.5472482085227965","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","12","19","144","0","24","3.3127136298984992","1","-2.5430817325909931","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","16","30","144","0","24","3.2486331200488463","1","-3.088903073469798","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","20","26","144","0","24","3.2379012255391642","1","-3.5847472389539083","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","24","39","144","4","24","3.3253210793949908","1","-4.1751663684844971","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","28","42","144","4","24","3.216446557903466","1","-4.7056412498156233","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","32","45","144","6","24","3.313172913786659","1","-5.791028181711833","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","36","36","144","4","24","3.1583654527401288","1","-6.4855981270472212","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","40","48","144","4","24","3.5626172649961227","1","-7.9196776866912844","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","48","47","144","5","24","3.0527350534221793","1","-6.9648853023846948","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","56","36","144","4","24","3.3133051534994316","1","-8.1354303091764457","true"
