"configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"L19_SEED_1","MARGIN_DEVELOPMENT_V1","288","57","144","9","24","6.5290303125242461","1","-19.967780701319377","true"
"L19_SEED_1","MARGIN_DEVELOPMENT_V1","320","50","144","8","24","7.2793924123677254","1","-20.620040321350096","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","0","18","144","0","24","3.4726093235655089","1","-0.67907722592353825","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","4","19","144","0","24","3.3108919913159038","1","-1.0515626872579256","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","8","20","144","0","24","3.2938708284967504","1","-2.6624049027760823","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","12","22","144","0","24","3.3670029925810163","1","-4.200203847885132","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","16","24","144","0","24","3.4577332823837881","1","-5.5757128636042275","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","20","39","144","3","24","3.2219847988170822","1","-5.7441185275713602","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","24","26","144","3","24","3.4450134572094679","1","-6.1176459471384685","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","28","16","144","0","24","4.3492581633372573","1","-9.0449714183807366","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","32","34","144","4","24","4.6283738048374445","1","-9.8122117996215827","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","36","32","144","4","24","4.3563334141179659","1","-9.4434280872344978","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","40","34","144","3","24","4.0345615318689205","1","-8.5955407460530591","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","48","40","144","3","24","3.8492475589851387","1","-8.5425362666447953","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","56","35","144","4","24","3.8478627622558292","1","-8.9215271284182869","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","64","41","144","4","24","4.2514774900396013","1","-10.809935920437177","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","80","47","144","5","24","4.6670389015547089","1","-12.791972521444162","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","96","42","144","5","24","4.8006541432058683","1","-12.966020949681599","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","128","59","144","8","24","4.8509982055905052","1","-15.810592327515284","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","160","59","144","8","24","5.2280589917445397","1","-17.226103021701178","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","192","59","144","8","24","5.5266738033921774","1","-18.260716444253923","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","224","59","144","8","24","5.703825126631223","1","-18.915919828414918","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","256","59","144","8","24","5.84834532334024","1","-19.459821863969168","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","288","59","144","8","24","5.9708024873249759","1","-19.928428542613982","true"
"L19_SEED_2","MARGIN_CALIBRATION_V1","320","59","144","8","24","6.0751862806397474","1","-20.331354653835298","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","0","15","144","0","24","3.4714592329373621","1","-0.68008235891660052","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","4","20","144","0","24","3.2025826990955695","1","-0.77076899434129398","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","8","14","144","0","24","3.0684906065356667","1","-2.3711965878804526","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","12","22","144","0","24","2.8905743764611116","1","-3.3438392519950866","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","16","21","144","0","24","2.9235678111169374","1","-4.4095494960745176","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","20","40","144","4","24","2.1298078803750431","1","-2.6381307428081828","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","24","32","144","2","24","2.2712703110785579","1","-3.3745153685410818","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","28","22","144","1","24","3.4785104831488947","1","-7.6935523668924963","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","32","40","144","6","24","3.8682373277821864","1","-9.1401322046915698","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","36","41","144","4","24","3.5345599907489835","1","-8.4708520889282219","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","40","49","144","3","24","3.3198843881662281","1","-8.1175505956013989","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","48","28","144","2","24","3.3383053835619254","1","-7.2108737627665205","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","56","47","144","3","24","3.100673275700546","1","-7.262472127874692","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","64","59","144","5","24","3.2795671308491836","1","-8.9736029595136646","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","80","55","144","5","24","3.7696896910298747","2","-10.829554492731889","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","96","45","144","5","24","4.0295776792280442","2","-11.228947027524312","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","128","57","144","8","24","3.8920247646837627","1","-12.76296396056811","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","160","56","144","8","24","4.3653880628561668","1","-14.166236950953801","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","192","55","144","8","24","4.6026923519597354","1","-14.913605758299431","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","224","57","144","8","24","4.7013688913417884","2","-15.406390815973282","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","256","57","144","8","24","4.8964511173983034","2","-16.612141678730648","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","288","57","144","8","24","5.0112556515018651","2","-17.017144534985224","true"
"L19_SEED_2","MARGIN_DEVELOPMENT_V1","320","65","144","9","24","4.5271806692690921","2","-16.703301360209782","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","0","3","144","0","24","3.476863532916759","1","-0.54546849926312768","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","4","16","144","0","24","3.3043453287568285","1","-0.70518247739722328","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","8","24","144","0","24","3.0859091832218932","1","-1.3298145626982054","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","12","28","144","0","24","2.9036624569097538","1","-2.3979089438915251","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","16","22","144","0","24","2.9551782784537415","1","-4.0339236736297606","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","20","25","144","1","24","3.0993737292247592","1","-4.8453378915786747","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","24","40","144","6","24","3.244090146581156","1","-6.0258685270945227","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","28","41","144","6","24","3.4634151811109675","1","-7.2050343990325931","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","32","27","144","1","24","3.2996065552409366","1","-7.2930614074071247","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","36","31","144","0","24","3.4628273931974802","1","-8.2295148690541584","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","40","31","144","0","24","3.9229869639482495","1","-9.2069130738576259","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","48","54","144","6","24","3.2418269768096994","1","-8.7940103133519489","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","56","59","144","7","24","3.5922184018092143","1","-10.624629831314087","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","64","63","144","9","24","3.7556708607864402","1","-12.123448689778646","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","80","75","144","10","24","3.4806101704873247","2","-13.06608874797821","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","96","76","144","9","24","3.7717935184268661","2","-15.157632740338643","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","128","75","144","8","24","4.2112248871326301","2","-17.202113838990531","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","160","75","144","8","24","4.4720450772103293","2","-18.258679721752802","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","192","76","144","9","24","4.666765264596247","2","-19.016802716255189","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","224","81","144","9","24","4.4541562885497816","2","-19.588940397898355","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","256","84","144","10","24","4.4097139815794577","2","-20.186040351788204","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","288","84","144","10","24","4.4985682562608709","2","-20.60302035609881","true"
"L19_SEED_4","MARGIN_CALIBRATION_V1","320","92","144","11","24","4.030170295310362","3","-20.965632081031799","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","0","2","144","0","24","3.4829463685813224","1","-0.59163200656572978","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","4","13","144","0","24","3.3035836634297415","1","-0.70964731387794022","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","8","18","144","0","24","3.12313602125354","1","-1.4296210254232089","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","12","21","144","0","24","2.9437165421652174","1","-2.3480419906477135","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","16","23","144","0","24","3.0277255433802188","1","-3.9311326165994007","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","20","24","144","1","24","2.9634391807876619","1","-4.3267459392547609","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","24","38","144","6","24","3.1722784757669813","1","-5.4621016025543216","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","28","39","144","6","24","3.5699249300313616","1","-7.1157835642496741","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","32","19","144","0","24","3.3603036494677045","1","-6.9275842507680254","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","36","28","144","0","24","3.591234293252096","1","-7.7077566464742029","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","40","25","144","0","24","4.2133395510403187","1","-8.7381195704142254","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","48","32","144","3","24","3.4548076114428183","1","-9.3659685413042713","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","56","34","144","3","24","3.9190063117715326","1","-10.632618363698324","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","64","63","144","9","24","3.878501329668028","1","-12.055078903834024","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","80","73","144","9","24","3.9968548234173764","2","-14.42965802748998","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","96","71","144","9","24","4.3711325215651842","1","-15.696221582094829","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","128","73","144","9","24","4.7225379523372277","1","-17.004039573669434","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","160","73","144","9","24","5.0473061285461069","1","-17.954245559374492","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","192","71","144","9","24","5.3934677322501576","1","-18.671501437822979","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","224","75","144","9","24","5.0904386799903687","1","-19.205402898788453","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","256","86","144","12","24","4.4109156756356374","1","-18.844621332486472","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","288","86","144","12","24","4.4971138064991276","1","-19.244569245974223","true"
"L19_SEED_4","MARGIN_DEVELOPMENT_V1","320","86","144","12","24","4.5741163228215562","1","-19.59944500128428","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","0","14","144","0","24","3.4736591171899112","1","-0.63669160753488541","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","4","27","144","0","24","3.307105886226231","1","-0.90231934065620101","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","8","23","144","0","24","3.2558229403098924","1","-2.2961344520250955","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","12","23","144","0","24","3.2996916066522006","1","-3.8670495510101319","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","16","29","144","0","24","3.0916283512596325","1","-4.6013044953346256","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","20","36","144","4","24","3.0917160597218274","1","-5.0873698636889459","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","24","26","144","4","24","3.4985474584893179","1","-6.9622585852940881","true"
