"configuration_id","objective","priority","step","score","finite"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","64","4.4981619555554868","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","80","5.3246049260099726","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","96","5.657769305269337","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","128","6.4547224379461516","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","160","6.8397736163007927","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","192","6.6534637458130925","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","224","6.8054812061082988","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","256","7.0047483689801693","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","288","7.1798418371213808","true"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","320","7.3362349731226759","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","0","0.67545302808284757","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","4","1.5193202286958694","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","8","3.2988568743069968","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","12","3.6848433256149291","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","16","3.6897498408953351","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","20","4.6393788337707518","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","24","5.8399106979370119","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","28","6.6324678421020504","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","32","7.6085383335749306","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","36","7.4335665782292688","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","40","7.0825992623964948","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","48","8.4197096745173141","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","56","9.9221663792928059","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","64","10.626501687367757","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","80","12.04135734240214","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","96","13.784225781758627","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","128","15.402626101175944","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","160","16.47407956123352","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","192","17.266432650883992","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","224","17.831642198562623","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","256","18.398841412862144","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","288","18.89670794804891","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","320","19.340974394480387","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","0","0.59333706390241092","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","4","1.2725775929103638","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","8","2.7831990025166808","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","12","3.1043592085098397","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","16","3.3175632234919687","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","20","4.2914679196245711","true"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","24","5.4061905104538486","true"
