"configuration_id","objective","priority","selected_step","score","calibration_token_exact","calibration_sequence_exact","development_token_exact","development_sequence_exact","development_nll","development_median_survival","development_lower_tail_margin_q10","delta_token_exact_vs_final","delta_sequence_exact_vs_final"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D0","0","0","0.31014478275978441","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D025","1","0","0.55868588995407564","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","MARGIN_DEFICIT_MEAN_D05","2","0","0.80868588995407564","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q10","3","0","0.67545302808284757","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","LOWER_TAIL_MARGIN_Q20","4","0","0.59333706390241092","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T025","5","0","0.36453924802196819","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T05","6","0","0.33743867826688567","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SOFT_WORST_MARGIN_T1","7","0","0.32356016061033188","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T025","8","0","9.2307428164549474","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T05","9","0","6.3899538429484339","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","SEQUENCE_SURVIVAL_NLL_T1","10","0","5.1827623549973749","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_1","FIRST_ERROR_HAZARD_INV_POSITION","11","0","0.31001212811853779","6","0","7","0","3.4304919984423075","1","-0.6268337488174438","-43","-8"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D0","0","0","0.28273228066488326","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D025","1","0","0.52124359621181304","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","MARGIN_DEFICIT_MEAN_D05","2","0","0.77124359621181304","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","LOWER_TAIL_MARGIN_Q10","3","0","0.67907722592353825","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","LOWER_TAIL_MARGIN_Q20","4","0","0.57785824782632544","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","SOFT_WORST_MARGIN_T025","5","0","0.32954670405561476","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
