arm,seed,start_step,step,val_bpb,dev_bpb,balanced_bpb,val_bits_per_token,dev_bits_per_token,val_nll,dev_nll,val_tokens,dev_tokens,val_target_utf8_bytes,dev_target_utf8_bytes,eval_finite
control,1,2000,2050,2.471162311,2.7362846,2.603723456,6.433106379,6.517715014,4.459089549,4.517735786,8192,8192,21326,19513,true
control,1,2000,2100,2.472646024,2.731959751,2.602302887,6.436968885,6.507413405,4.461766834,4.510595255,8192,8192,21326,19513,true
control,1,2000,2250,2.461294184,2.713233033,2.587263608,6.407416964,6.462807149,4.441283003,4.479676554,8192,8192,21326,19513,true
control,1,2000,2500,2.440869537,2.730184507,2.585527022,6.354246064,6.503184849,4.404427744,4.507664243,8192,8192,21326,19513,true
