configuration_id,layer,tap,condition,solver,init,lambda,converged,converged_flat,stalled,iterations,grad_norm,objective,train_ce,cal_ce,dev_ce,train_exact,cal_exact,dev_exact,selected_step,train_ce_2000,ce_coordinate
L19_SEED_1,2,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000150726662342,0.00644334136851,0.00115012450913,6.50200721426,7.33040359087,32,45,37,,,whitened
L19_SEED_1,2,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,139,1.37519285033e-08,0.00594534719986,0.00110203112757,6.27806657573,7.09124387027,32,46,36,,,whitened
L19_SEED_1,3,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.275950046509,0.539755474666,0.471260235392,29,116,124,125,0.0185819634163,z_score
L19_SEED_1,3,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.275950046509,0.539755474666,0.471260235392,29,116,124,,,whitened
L19_SEED_1,3,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000145324267096,0.00625211846182,0.00109412005077,6.06910726687,8.07690605838,32,42,34,,,whitened
L19_SEED_1,3,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,120,1.37758423634e-08,0.00576159851631,0.00105123902278,5.92125888773,7.92396874747,32,42,34,,,whitened
L19_SEED_1,4,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.271754754632,0.599606094837,0.558850067474,29,111,119,125,0.0165464779156,z_score
L19_SEED_1,4,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.271754754632,0.599606094837,0.558850067474,29,111,119,,,whitened
L19_SEED_1,4,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000145794612284,0.00636102549003,0.00112275791801,7.8355945333,10.1639648377,32,36,32,,,whitened
L19_SEED_1,4,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,145,1.68352969344e-08,0.00586971974359,0.00107918368273,7.59160321774,9.85988952356,32,35,32,,,whitened
L19_SEED_1,5,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.315486951974,0.637830777964,0.603903763191,29,112,119,100,0.0142119531577,z_score
L19_SEED_1,5,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.315486951974,0.637830777964,0.603903763191,29,112,119,,,whitened
L19_SEED_1,5,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000149710155533,0.00621269668166,0.00108976521005,13.6911720175,13.4844299884,32,24,30,,,whitened
L19_SEED_1,5,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,139,1.90986004173e-08,0.00571524902245,0.0010431354066,13.3801383999,13.1673534182,32,24,31,,,whitened
