configuration_id,layer,tap,selected_step,selected_fraction,train_ce_selected,train_ce_2000,cal_ce,cal_exact,dev_exact
L19_SEED_1,9,CTX_CONCAT,25,0.0125,1.40996272345,0.00675876868064,2.73199429096,26,24
L19_SEED_1,9,ATT_UPDATE,25,0.0125,1.47632577595,0.0119643983691,2.98863675816,7,6
L19_SEED_2,7,CTX_CONCAT,25,0.0125,1.26208333623,0.00369356831466,2.54040832748,39,37
L19_SEED_2,7,ATT_UPDATE,25,0.0125,1.37554602595,0.00791289985783,2.56670172085,26,24
L19_SEED_4,12,CTX_CONCAT,50,0.025,0.539106037785,0.00282357146442,1.89157521237,60,57
L19_SEED_4,12,ATT_UPDATE,50,0.025,0.844332488605,0.00658390033114,2.16234706816,57,47
L18_SEED_2_CONTROL,6,CTX_CONCAT,50,0.025,0.59867490429,0.00353480581882,1.77297868766,69,68
L18_SEED_2_CONTROL,6,ATT_UPDATE,50,0.025,0.610015272949,0.00385080167953,1.79761703209,65,64
