configuration_id,layer,z_design_rank,z_design_nullity,z_design_condition,delta_fro,delta_null_fraction,delta_near_null_fraction,train_ce_diff,dev_exact_diff,max_dlogit_null_dev,flips_null_dev,flips_total_dev
L19_SEED_1,9,16,0,9982.17,32.8529535813,3.55184807688e-15,0.822179530583,0.066363076304,18,2.9262024509e-14,0,60
L19_SEED_2,7,16,0,15797.6,53.6680144545,1.36789839108e-15,0.919326182247,0.113462736057,13,4.18269958583e-14,0,65
L19_SEED_4,12,16,0,11933.7,90.0482167679,3.20477845497e-15,0.939718706879,0.305226437817,10,8.03293439501e-14,0,36
L18_SEED_2_CONTROL,6,16,0,6491.5,30.0040454485,3.20777984185e-15,0.71147267022,0.0113403568951,4,3.25512531825e-14,0,46
