configuration_id,item,index,value
L19_SEED_4,singular_value,0,1.28737615973
L19_SEED_4,singular_value,1,0.908200710889
L19_SEED_4,singular_value,2,0.853495577629
L19_SEED_4,singular_value,3,0.832720074263
L19_SEED_4,singular_value,4,0.76682287067
L19_SEED_4,singular_value,5,0.704737386295
L19_SEED_4,singular_value,6,0.659854260202
L19_SEED_4,singular_value,7,0.62942540996
L19_SEED_4,singular_value,8,0.594370821533
L19_SEED_4,singular_value,9,0.489235110713
L19_SEED_4,singular_value,10,0.441965008556
L19_SEED_4,singular_value,11,0.391130009612
L19_SEED_4,singular_value,12,0.374803607257
L19_SEED_4,singular_value,13,0.291846989845
L19_SEED_4,singular_value,14,0.279097698362
L19_SEED_4,singular_value,15,0.197247810731
L19_SEED_4,effective_rank,0,13.2515775314
L18_SEED_2_CONTROL,class_row_norm,0,0.520767999291
L18_SEED_2_CONTROL,class_row_norm,1,0.488128645528
L18_SEED_2_CONTROL,class_row_norm,2,0.517690440755
L18_SEED_2_CONTROL,class_row_norm,3,0.529634539291
L18_SEED_2_CONTROL,class_row_norm,4,0.511528773522
L18_SEED_2_CONTROL,class_row_norm,5,0.468591014979
L18_SEED_2_CONTROL,class_row_norm,6,0.521446259478
L18_SEED_2_CONTROL,class_row_norm,7,0.461682175316
L18_SEED_2_CONTROL,class_row_norm,8,0.534267964647
L18_SEED_2_CONTROL,class_row_norm,9,0.444708634466
L18_SEED_2_CONTROL,class_row_norm,10,0.496801475018
L18_SEED_2_CONTROL,class_row_norm,11,0.450429468306
L18_SEED_2_CONTROL,class_row_norm,12,0.501243502509
L18_SEED_2_CONTROL,class_row_norm,13,0.443699581216
L18_SEED_2_CONTROL,class_row_norm,14,0.442717064771
L18_SEED_2_CONTROL,class_row_norm,15,0.511064572198
L18_SEED_2_CONTROL,class_row_norm,16,0.402216706375
L18_SEED_2_CONTROL,class_row_norm,17,0.448020551471
L18_SEED_2_CONTROL,class_row_norm,18,0.427768023587
L18_SEED_2_CONTROL,class_row_norm,19,0.385517023064
L18_SEED_2_CONTROL,class_row_norm,20,0.421722125703
L18_SEED_2_CONTROL,class_row_norm,21,0.449062771212
L18_SEED_2_CONTROL,class_row_norm,22,0.50707813501
L18_SEED_2_CONTROL,class_row_norm,23,0.478527811646
L18_SEED_2_CONTROL,class_row_norm,24,0.481032298777
L18_SEED_2_CONTROL,class_row_norm,25,0.47403568765
L18_SEED_2_CONTROL,class_row_norm,26,0.433071515868
L18_SEED_2_CONTROL,class_row_norm,27,0.439008307621
L18_SEED_2_CONTROL,class_row_norm,28,0.43473951289
L18_SEED_2_CONTROL,class_row_norm,29,0.416402077774
L18_SEED_2_CONTROL,class_row_norm,30,0.408414331057
L18_SEED_2_CONTROL,class_row_norm,31,0.553018787896
L18_SEED_2_CONTROL,singular_value,0,1.39406463502
L18_SEED_2_CONTROL,singular_value,1,0.914274829609
L18_SEED_2_CONTROL,singular_value,2,0.836970210328
L18_SEED_2_CONTROL,singular_value,3,0.744129728328
L18_SEED_2_CONTROL,singular_value,4,0.702134711415
L18_SEED_2_CONTROL,singular_value,5,0.689474274276
L18_SEED_2_CONTROL,singular_value,6,0.606015191717
L18_SEED_2_CONTROL,singular_value,7,0.593701285572
L18_SEED_2_CONTROL,singular_value,8,0.552656044703
L18_SEED_2_CONTROL,singular_value,9,0.485024471818
L18_SEED_2_CONTROL,singular_value,10,0.469529799343
L18_SEED_2_CONTROL,singular_value,11,0.450634869991
L18_SEED_2_CONTROL,singular_value,12,0.363726715797
L18_SEED_2_CONTROL,singular_value,13,0.358067024654
L18_SEED_2_CONTROL,singular_value,14,0.283088249256
L18_SEED_2_CONTROL,singular_value,15,0.259038659296
L18_SEED_2_CONTROL,effective_rank,0,13.2709480517
