configuration_id,checkpoint_step,rep,rep_name,dataset,eta2,effective_rank,norm_ratio,hidden_margin_midmedian,sign_agreement,alignment_cosine
L19_SEED_1,320,4,L4_BLOCK_OUT,TRAIN,0.850629390059,3.71692198042,7.5260607597,2.44198572797,0.96875,0
L19_SEED_1,320,5,L5_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.927413748048,3.41790620733,10.3699924907,2.56952035189,0.777777777778,0.703230124369
L19_SEED_1,320,5,L5_BLOCK_OUT,TRAIN,0.853549722183,3.44061263008,10.3196738061,3.21023213457,0.9375,0
L19_SEED_1,320,6,L6_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.92736524924,3.3266994543,12.7372453055,3.00521833004,0.784722222222,0.701274150988
L19_SEED_1,320,6,L6_BLOCK_OUT,TRAIN,0.846027395795,3.34867592558,12.5646819296,4.00551123485,0.9375,0
L19_SEED_1,320,7,L7_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.920250509234,3.3319086699,16.0993576653,3.48968022764,0.805555555556,0.692095106491
L19_SEED_1,320,7,L7_BLOCK_OUT,TRAIN,0.850405000988,3.33839850572,15.933024967,4.86576834513,0.9375,0
L19_SEED_1,320,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.90901690798,3.32316398766,19.108067904,4.12881175485,0.819444444444,0.695261380351
L19_SEED_1,320,8,L8_BLOCK_OUT,TRAIN,0.857294816639,3.32646895305,18.9233771203,5.60240029685,0.9375,0
L19_SEED_1,320,9,L9_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.902764110271,3.15880603223,22.3970460778,4.60909279977,0.819444444444,0.695872038909
L19_SEED_1,320,9,L9_BLOCK_OUT,TRAIN,0.855464682402,3.20114010838,22.1071363717,6.19142003721,0.9375,0
L19_SEED_1,320,10,L10_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.8981045921,3.27677079465,25.9206363096,5.46838531351,0.826388888889,0.699258274841
L19_SEED_1,320,10,L10_BLOCK_OUT,TRAIN,0.85851749613,3.32463278708,25.5823033111,7.13665212756,0.9375,0
L19_SEED_1,320,11,L11_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.891822722295,3.2938647518,29.5215405244,5.98890090825,0.826388888889,0.693434480109
L19_SEED_1,320,11,L11_BLOCK_OUT,TRAIN,0.856620293083,3.38388006718,29.0510968893,7.492150318,0.9375,0
L19_SEED_1,320,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.883028729833,3.29141631295,34.4433652134,6.66818573314,0.840277777778,0.684825147636
L19_SEED_1,320,12,L12_BLOCK_OUT,TRAIN,0.860698618668,3.36199300597,33.905202736,8.0565843456,0.9375,0
L19_SEED_1,320,13,L13_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.88103604549,3.23212543975,38.5180477782,7.37026641442,0.840277777778,0.686148785675
L19_SEED_1,320,13,L13_BLOCK_OUT,TRAIN,0.863983736141,3.35333062202,37.9220854568,8.65146697754,0.9375,0
L19_SEED_1,320,14,L14_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.875336180623,3.29126863184,42.6247357652,8.55189110007,0.854166666667,0.68056183921
L19_SEED_1,320,14,L14_BLOCK_OUT,TRAIN,0.86623492466,3.39810672299,42.0447172127,9.21616210006,0.9375,0
L19_SEED_1,320,15,L15_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.849195460346,3.3521696468,46.6735693537,8.96747046968,0.868055555556,0.674249200564
L19_SEED_1,320,15,L15_BLOCK_OUT,TRAIN,0.872172416643,3.4536427463,46.2392307962,9.92492177934,1,0
L19_SEED_1,320,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.838457381447,3.38274928006,50.4345286795,9.27531500023,0.881944444444,0.668799277002
L19_SEED_1,320,16,L16_BLOCK_OUT,TRAIN,0.876853929742,3.51250814184,50.004756488,10.4112607785,1,0
L19_SEED_1,320,17,L17_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.822719462424,3.34868731535,55.5919125118,9.96263967823,0.888888888889,0.663005186757
L19_SEED_1,320,17,L17_BLOCK_OUT,TRAIN,0.880278035714,3.48461396642,55.0588063327,11.2259469017,1,0
L19_SEED_1,320,18,L18_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.794246463958,3.36276462123,59.9885065636,10.966153111,0.902777777778,0.653534758039
L19_SEED_1,320,18,L18_BLOCK_OUT,TRAIN,0.886456523285,3.41825330094,59.7764483068,11.9684622889,1,0
L19_SEED_1,320,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.771542479446,3.41459854976,63.6493374902,12.2118645134,0.909722222222,0.645138683207
L19_SEED_1,320,19,L19_BLOCK_OUT,TRAIN,0.89274302913,3.39570328302,63.6007244772,12.6446327992,1,0
L19_SEED_1,320,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.771880776896,3.42327986067,61.5522113982,12.0285277719,0.909722222222,0.648090526966
L19_SEED_1,320,20,PRE_LN_FINAL,TRAIN,0.892159733484,3.40479256476,61.4836248053,12.4042940904,1,0
L19_SEED_1,320,21,POST_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.793624066029,3.43096358334,8.68661723597,1.63679740165,0.895833333333,0.643539519264
L19_SEED_1,320,21,POST_LN_FINAL,TRAIN,0.902661571373,3.5543911851,8.65481585676,1.7857930686,1,0
L19_SEED_2,4,0,L0_EMBEDDED,MARGIN_DEVELOPMENT_V1,1,7.46710324677,1,0.506472711068,0.215277777778,-0.0445184630904
L19_SEED_2,4,0,L0_EMBEDDED,TRAIN,0.804606810379,6.85958847457,1,0.377487315909,0.34375,0
L19_SEED_2,4,4,L4_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.90056845778,2.25294587548,1.92587686004,0.44806477485,0.222222222222,0.173642858852
L19_SEED_2,4,4,L4_BLOCK_OUT,TRAIN,0.931535843709,2.04756176915,2.05640240788,0.477676143973,0.3125,0
L19_SEED_2,4,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.827986193736,1.57173337399,3.27156873442,0.349593716367,0.381944444444,0.244145546067
L19_SEED_2,4,8,L8_BLOCK_OUT,TRAIN,0.961514613886,1.55478647314,3.41334135652,0.525393322334,0.25,0
L19_SEED_2,4,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.82176533748,1.50270920154,4.02374594141,0.32441722461,0.381944444444,0.303322906234
L19_SEED_2,4,12,L12_BLOCK_OUT,TRAIN,0.970141310963,1.50035948985,4.1994693393,0.560342715596,0.28125,0
L19_SEED_2,4,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.799015464448,1.34078630662,5.23421212614,0.207999919379,0.402777777778,0.309091099336
L19_SEED_2,4,16,L16_BLOCK_OUT,TRAIN,0.974741476304,1.30476810574,5.3503834304,0.58808118771,0.28125,0
L19_SEED_2,4,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.770463055036,1.28655593678,6.43591682053,0.112759488165,0.548611111111,0.319656630659
L19_SEED_2,4,19,L19_BLOCK_OUT,TRAIN,0.977788829804,1.22294916117,6.54524675318,0.606704207127,0.28125,0
