configuration_id,checkpoint_step,rep,rep_name,selected_step,finite,nonfinite_step,nonfinite_what,train_ce,train_token_exact,cal_ce,cal_token_exact,max_logit_abs,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_fr_token_exact,dev_fr_sequence_exact,dev_fr_nll,dev_head_ctx_token_exact,dev_head_ctx_seq_exact,step2000_train_ce,step2000_train_token_exact
L19_SEED_1,320,10,L10_BLOCK_OUT,75,true,-1,,0.385983482823,29,0.905373797286,103,0.831487389971,107,1.53472222222,0.938180415316,63,7,3.11208615169,46,3,0.0144837992199,32
L19_SEED_1,320,11,L11_BLOCK_OUT,75,true,-1,,0.394319642889,29,0.934809561913,100,0.812960824129,106,1.5625,0.964161632891,53,6,3.31402590483,45,2,0.014848797131,32
L19_SEED_1,320,12,L12_BLOCK_OUT,75,true,-1,,0.400143616684,29,0.98259208337,99,0.852531939593,105,1.61111111111,1.00416828323,50,6,3.3720677655,45,2,0.0155532208501,32
L19_SEED_1,320,13,L13_BLOCK_OUT,75,true,-1,,0.387845786871,29,1.02140346934,97,0.872447735473,104,1.65972222222,1.02807398386,51,7,3.44827526185,46,3,0.0143436162115,32
L19_SEED_1,320,14,L14_BLOCK_OUT,50,true,-1,,0.556935912318,28,1.05327864385,96,0.546185136961,99,1.70138888889,1.07634381305,48,5,2.98146769975,44,2,0.0140174658178,32
L19_SEED_1,320,15,L15_BLOCK_OUT,50,true,-1,,0.547372710752,28,1.1473770955,94,0.575146986037,98,1.90972222222,1.17408240027,52,4,2.87502781475,45,2,0.0137606899177,32
L19_SEED_1,320,16,L16_BLOCK_OUT,50,true,-1,,0.547515624051,28,1.18718135712,94,0.620485118775,97,2.06944444444,1.2100205744,61,4,2.63652669112,45,2,0.0131514614801,32
L19_SEED_1,320,17,L17_BLOCK_OUT,50,true,-1,,0.552614929587,28,1.2284731282,94,0.601708030161,95,2.17361111111,1.25855760559,54,3,2.73641089222,43,2,0.0136893424498,32
L19_SEED_1,320,18,L18_BLOCK_OUT,50,true,-1,,0.558741746506,28,1.28387245801,88,0.57400627085,88,2.53472222222,1.34312578617,54,1,2.75244606751,42,1,0.0140898707248,32
L19_SEED_1,320,19,L19_BLOCK_OUT,50,true,-1,,0.558002315299,28,1.34633471062,86,0.595046061843,88,2.76388888889,1.42665693726,52,1,2.93858302178,42,1,0.0137820277184,32
L19_SEED_1,320,20,PRE_LN_FINAL,50,true,-1,,0.556058995022,28,1.34297818603,86,0.592742696328,88,2.79861111111,1.41987519106,52,1,2.93075069186,42,1,0.0136452650614,32
L19_SEED_1,320,21,POST_LN_FINAL,50,true,-1,,0.564606283688,28,1.38216366277,88,0.599380814923,90,2.74305555556,1.47144975962,49,1,3.36885682111,42,1,0.0181665448567,32
L19_SEED_2,4,0,L0_EMBEDDED,2000,true,-1,,0.268394765941,28,0.103080991758,144,1.94663080974,144,1,0.103080991758,144,24,0.103080991758,38,0,0.268394765941,28
L19_SEED_2,4,4,L4_BLOCK_OUT,125,true,-1,,0.196215136334,31,0.635021572926,118,1.15395729953,120,1.1875,0.489391758911,75,10,2.74026404788,34,0,0.00447344812321,32
L19_SEED_2,4,8,L8_BLOCK_OUT,125,true,-1,,0.219449153904,31,1.37384137124,87,1.34510160116,93,1.91666666667,1.0993358468,52,7,3.29082011408,31,0,0.00388941332366,32
L19_SEED_2,4,12,L12_BLOCK_OUT,50,true,-1,,0.602498107815,30,1.7607277428,82,0.608781286401,84,2.63888888889,1.5047058,62,9,2.74455996636,27,0,0.00358281992941,32
L19_SEED_2,4,16,L16_BLOCK_OUT,50,true,-1,,0.666130685979,29,2.3212330406,56,0.573844180426,59,3.42361111111,1.95413053994,44,5,3.03849030045,24,0,0.00460784414526,32
L19_SEED_2,4,19,L19_BLOCK_OUT,50,true,-1,,0.751686309779,30,2.66434776621,49,0.571697649034,52,4.36111111111,2.25076658206,41,5,3.15254413127,24,0,0.00754636957343,32
L19_SEED_2,4,20,PRE_LN_FINAL,25,true,-1,,1.351823006,23,2.6358097744,37,0.341115405398,32,5.08333333333,2.40404895541,22,0,2.94575395508,23,0,0.00736720933614,32
L19_SEED_2,4,21,POST_LN_FINAL,25,true,-1,,1.25220514923,23,2.86881169077,34,0.348739097505,33,7.125,2.63133077465,23,1,3.22042153197,18,0,0.0148771419948,32
L19_SEED_2,128,0,L0_EMBEDDED,2000,true,-1,,0.268406462118,28,0.103092807784,144,1.75442545536,144,1,0.103092807784,144,24,0.103092807784,72,9,0.268406462118,28
L19_SEED_2,128,4,L4_BLOCK_OUT,175,true,-1,,0.178015737514,31,0.488298340422,119,1.29573454394,118,1.18055555556,0.46426604638,69,7,3.30847097871,61,4,0.00633178728313,32
