configuration_id,checkpoint_step,rep,rep_name,probe_dev_fr_token_exact,head_dev_fr_token_exact,probe_minus_head_fr,probe_dev_tf_token_exact,probe_train_tf_token_exact,probe_cal_fr_token_exact
L19_SEED_4,12,19,L19_BLOCK_OUT,33,21,12,65,30,44
L19_SEED_4,12,20,PRE_LN_FINAL,35,21,14,64,30,41
L19_SEED_4,12,21,POST_LN_FINAL,31,21,10,66,27,40
L19_SEED_4,80,0,L0_EMBEDDED,144,73,71,144,28,144
L19_SEED_4,80,4,L4_BLOCK_OUT,94,73,21,124,30,111
L19_SEED_4,80,8,L8_BLOCK_OUT,87,73,14,119,30,82
L19_SEED_4,80,12,L12_BLOCK_OUT,54,73,-19,105,30,74
L19_SEED_4,80,16,L16_BLOCK_OUT,31,73,-42,82,30,50
L19_SEED_4,80,19,L19_BLOCK_OUT,31,73,-42,80,30,44
L19_SEED_4,80,20,PRE_LN_FINAL,31,73,-42,80,30,44
L19_SEED_4,80,21,POST_LN_FINAL,36,73,-37,86,30,43
L19_SEED_4,320,0,L0_EMBEDDED,144,86,58,144,28,144
L19_SEED_4,320,1,L1_BLOCK_OUT,112,86,26,135,29,119
L19_SEED_4,320,2,L2_BLOCK_OUT,115,86,29,137,29,127
L19_SEED_4,320,3,L3_BLOCK_OUT,115,86,29,134,29,124
L19_SEED_4,320,4,L4_BLOCK_OUT,98,86,12,127,30,110
L19_SEED_4,320,5,L5_BLOCK_OUT,91,86,5,123,30,100
L19_SEED_4,320,6,L6_BLOCK_OUT,77,86,-9,120,30,92
L19_SEED_4,320,7,L7_BLOCK_OUT,77,86,-9,121,30,85
L19_SEED_4,320,8,L8_BLOCK_OUT,77,86,-9,120,30,92
L19_SEED_4,320,9,L9_BLOCK_OUT,90,86,4,126,29,105
L19_SEED_4,320,10,L10_BLOCK_OUT,70,86,-16,119,30,90
L19_SEED_4,320,11,L11_BLOCK_OUT,70,86,-16,117,30,90
L19_SEED_4,320,12,L12_BLOCK_OUT,46,86,-40,112,30,85
