model,seed,android_thermal_status_before,android_thermal_status_after,battery_level_before,battery_level_after,battery_temperature_c_before,battery_temperature_c_after
L19,1,0,0,90,90,35,35
L19,1,0,0,90,90,36,36
L19,1,0,0,90,90,35,35
L6,1,0,0,90,90,35,35
L6,2,0,0,90,90,35,35
L6,4,0,0,90,90,35,35
