model,seed,mode,max_new_bytes,htp_initialize_us,graph_create_us,graph_finalize_us,generation_total_seconds,generation_ms_per_byte,graph_execute_count
L19,1,greedy,32,3328244.739,92157.084,3102232.03,1.285079635,40.15873859,44
L19,1,greedy,64,3521441.301,83573.75,3258350.832,2.511093645,39.2358382,76
L19,1,sample,64,3459431.144,84200.938,3228888.748,4.340984217,67.82787839,76
L6,1,greedy,64,539059.635,92479.219,338403.438,1.762829322,27.54420816,76
L6,2,greedy,64,551788.281,92118.698,345105.364,2.092159738,32.68999591,76
L6,4,greedy,64,540010.417,90032.708,341854.218,1.344186146,21.00290853,76
