# classification=BITWISE_REPRODUCIBLE
"run","seed1_final_parameter_hash","final_logits_hash","seed1_final_loss","seed1_final_accuracy","oracle_exact_aggregate","free_exact_aggregate","oracle_s1_p0_generated_sequence","oracle_s1_p0_exact","oracle_s1_p1_generated_sequence","oracle_s1_p1_exact","oracle_s1_p2_generated_sequence","oracle_s1_p2_exact","oracle_s1_p3_generated_sequence","oracle_s1_p3_exact","oracle_s2_p0_generated_sequence","oracle_s2_p0_exact","oracle_s2_p1_generated_sequence","oracle_s2_p1_exact","oracle_s2_p2_generated_sequence","oracle_s2_p2_exact","oracle_s2_p3_generated_sequence","oracle_s2_p3_exact","oracle_s3_p0_generated_sequence","oracle_s3_p0_exact","oracle_s3_p1_generated_sequence","oracle_s3_p1_exact","oracle_s3_p2_generated_sequence","oracle_s3_p2_exact","oracle_s3_p3_generated_sequence","oracle_s3_p3_exact","oracle_s4_p0_generated_sequence","oracle_s4_p0_exact","oracle_s4_p1_generated_sequence","oracle_s4_p1_exact","oracle_s4_p2_generated_sequence","oracle_s4_p2_exact","oracle_s4_p3_generated_sequence","oracle_s4_p3_exact","oracle_s5_p0_generated_sequence","oracle_s5_p0_exact","oracle_s5_p1_generated_sequence","oracle_s5_p1_exact","oracle_s5_p2_generated_sequence","oracle_s5_p2_exact","oracle_s5_p3_generated_sequence","oracle_s5_p3_exact","free_s1_p0_generated_sequence","free_s1_p0_exact","free_s1_p1_generated_sequence","free_s1_p1_exact","free_s1_p2_generated_sequence","free_s1_p2_exact","free_s1_p3_generated_sequence","free_s1_p3_exact","free_s2_p0_generated_sequence","free_s2_p0_exact","free_s2_p1_generated_sequence","free_s2_p1_exact","free_s2_p2_generated_sequence","free_s2_p2_exact","free_s2_p3_generated_sequence","free_s2_p3_exact","free_s3_p0_generated_sequence","free_s3_p0_exact","free_s3_p1_generated_sequence","free_s3_p1_exact","free_s3_p2_generated_sequence","free_s3_p2_exact","free_s3_p3_generated_sequence","free_s3_p3_exact","free_s4_p0_generated_sequence","free_s4_p0_exact","free_s4_p1_generated_sequence","free_s4_p1_exact","free_s4_p2_generated_sequence","free_s4_p2_exact","free_s4_p3_generated_sequence","free_s4_p3_exact","free_s5_p0_generated_sequence","free_s5_p0_exact","free_s5_p1_generated_sequence","free_s5_p1_exact","free_s5_p2_generated_sequence","free_s5_p2_exact","free_s5_p3_generated_sequence","free_s5_p3_exact"
"1","0ba41957248b776a18b5db000afed50f787c15f860194497cb0ff616cee8134b","323162ffb380706e1af952658c664f76bc060a811aaea97ceb9f2874fbe8813b","0.01613830021","1","20","20","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true"
"2","0ba41957248b776a18b5db000afed50f787c15f860194497cb0ff616cee8134b","323162ffb380706e1af952658c664f76bc060a811aaea97ceb9f2874fbe8813b","0.01613830021","1","20","20","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true"
"3","0ba41957248b776a18b5db000afed50f787c15f860194497cb0ff616cee8134b","323162ffb380706e1af952658c664f76bc060a811aaea97ceb9f2874fbe8813b","0.01613830021","1","20","20","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true","0,1,2,3,0,1,2,3","true","4,5,6,7,4,5,6,7","true","8,9,8,9,8,9,8,9","true","12,10,11,12,10,11,12,10","true"
