"mode","case_id","step","max_abs_difference","mean_abs_difference","relative_l2_difference","argmax_match","top3_match"
"free","s5_p1","4","8.159503937","2.716712124","0.568129917","true","false"
"free","s5_p1","5","8.340632677","2.164550848","0.4069785157","true","false"
"free","s5_p1","6","9.252326369","4.35266437","0.7502461889","true","false"
"free","s5_p1","7","7.034714699","2.252682467","0.4324205783","true","false"
"free","s5_p2","0","18.59372616","4.893542765","0.45528445","true","false"
"free","s5_p2","1","12.0059967","1.867149435","0.2884440958","true","true"
"free","s5_p2","2","18.59372616","4.893542765","0.45528445","true","false"
"free","s5_p2","3","12.0059967","1.867149435","0.2884440958","true","true"
"free","s5_p2","4","18.59372616","4.893542765","0.45528445","true","false"
"free","s5_p2","5","12.0059967","1.867149435","0.2884440958","true","true"
"free","s5_p2","6","18.59372616","4.893542765","0.45528445","true","false"
"free","s5_p2","7","12.0059967","1.867149435","0.2884440958","true","true"
"free","s5_p3","0","11.0500741","2.640546218","0.3928092469","true","false"
"free","s5_p3","1","12.31209755","2.448221026","0.3777409389","true","false"
"free","s5_p3","2","15.40579128","3.880888146","0.4662798229","true","false"
"free","s5_p3","3","11.0500741","2.640546218","0.3928092469","true","false"
"free","s5_p3","4","12.31209755","2.448221026","0.3777409389","true","false"
"free","s5_p3","5","15.40579128","3.880888146","0.4662798229","true","false"
"free","s5_p3","6","11.0500741","2.640546218","0.3928092469","true","false"
"free","s5_p3","7","12.31209755","2.448221026","0.3777409389","true","false"
