seed,start_step,traj_step,arm,loss,param_divergence_rel_l2,update_cosine_step,update_rel_l2_step,wq_wk_norm_full,wq_wk_norm_split,global_update_norm_full,global_update_norm_split,head_angular_step_mean_split,non_finite,_source_step_dir
1,2000,1,full,4.661612034,0.004518006354,1,0,7.839791187,7.839791187,0.4066470529,0.4066470529,1.52989094,false,step2000
1,2000,8,full,4.502756596,0.02899456597,1,0,7.852810814,7.852810814,0.4066739679,0.4066739679,1.530449138,false,step2000
1,2000,32,full,4.391714096,0.09269020522,1,0,7.895017761,7.895017761,0.4068822285,0.4068822285,1.534686506,false,step2000
1,2000,1,wqwk_headwise,4.661612034,0.004607133041,0.8250446349,0.5976642632,7.839791187,7.83979645,0.4066470529,0.4129868956,1.53097977,false,step2000
1,2000,8,wqwk_headwise,4.503408909,0.03093726303,0.09971665446,1.028370414,7.852746434,7.85450031,0.7850980608,0.4133123276,1.531777421,false,step2000
1,2000,32,wqwk_headwise,4.394339085,0.1009427641,-0.07631809139,1.019768736,7.893964173,7.898430116,2.049648112,0.4138349275,1.535507136,false,step2000
