"configuration_id","role","step","ar_nll","token_exact","token_total","sequence_exact","sequence_total","mean_first_error_position","no_error_cases","first_error_cases","mean_rank","mean_probability","mean_entropy","mean_expected_margin","mean_top1_top2_margin","rank1_unique","top2_inclusion","top3_inclusion","margin_nonnegative_fraction","margin_abs_below_log2_fraction"
"L19_SEED_1","SELECTED","16","3.3078138181566086","14","144","0","24","1.0416666666666667","0","24","10.027777777777779","0.065494382745883845","2.8528497000728406","-1.5734514449270338","0.30136431339714265","14","30","36","0.097222222222222224","0.2986111111111111"
"L19_SEED_1","FINAL_STEP","320","8.1239203249880703","30","144","2","24","1.2727272727272727","2","22","8.2222222222222214","0.20236279546542713","0.30983176076476382","-7.2375558474515049","3.5163350436422558","30","50","60","0.20833333333333334","0.034722222222222224"
"L19_SEED_2","SELECTED","4","3.197133062669808","20","144","0","24","1.0833333333333333","0","24","8.4097222222222214","0.042918465074358716","3.416429375169987","-0.31308475714791306","0.065194504749443799","20","40","53","0.1388888888888889","0.90972222222222221"
"L19_SEED_2","FINAL_STEP","320","4.1834252619661516","63","144","6","24","1.6666666666666667","6","18","3.7708333333333335","0.4352846618186535","0.29824178978401583","-2.0704386058884361","3.6719519595305123","63","91","104","0.4375","0.055555555555555552"
"L19_SEED_4","SELECTED","12","3.050374745325422","22","144","0","24","1.0833333333333333","0","24","8.9722222222222214","0.063458990425311237","3.1261520464967787","-0.90979458059235996","0.24645953170127338","22","36","46","0.15277777777777779","0.38194444444444442"
"L19_SEED_4","FINAL_STEP","320","7.5872917441801651","46","144","6","24","1.3333333333333333","6","18","7.5972222222222223","0.31152051043134865","0.28547917966988978","-5.9322127302358343","3.989277011818356","46","60","76","0.31944444444444442","0.027777777777777776"
"L18_SEED_2_CONTROL","SELECTED","4","3.2160299292650301","18","144","0","24","1","0","24","8.3819444444444446","0.041696158147210047","3.4260150480338325","-0.27189435857589062","0.058600415061745376","18","36","54","0.125","0.96527777777777779"
"L18_SEED_2_CONTROL","FINAL_STEP","320","5.3026052051209884","65","144","8","24","1.5625","8","16","5.4722222222222223","0.42991255886272861","0.31211052483037188","-3.2769950352861392","3.5184745639562607","65","85","91","0.4513888888888889","0.069444444444444448"
