seed,step,suffix,layer_count,median_rms_ratio_h1_over_h0,p90_rms_ratio_h1_over_h0,max_rms_ratio_h1_over_h0,median_imbalance_max_ratio,p90_imbalance_max_ratio,max_imbalance_max_ratio,median_momentum_rms_ratio_h1_over_h0,layers
1,500,wk,19,1.0073091932615756,1.0343969675322808,1.0603734588276268,1.0179521545225676,1.0466509713111143,1.0655007763996802,1.258498829895899,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
1,500,wq,19,1.0064493483878048,1.046746566940255,1.0725443331527462,1.0110151344454874,1.0475987900567194,1.0725443331527462,1.266323518631204,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
1,500,wv,19,1.0101006265271057,1.0443126059260817,1.0639181122575636,1.025529164049819,1.048571686487712,1.0639181122575636,1.0264695046650965,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
1,2000,wk,19,0.9844037407625744,1.0619818526404001,1.103892658839607,1.051158933086966,1.105014594245501,1.1440318880478175,0.9668738995263739,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
1,2000,wq,19,0.9936001939100157,1.0674181835477914,1.116611806754941,1.062043354392797,1.1320912716748301,1.150135861663924,1.10709929486504,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
1,2000,wv,19,1.0124811591660987,1.057260529024685,1.0756912068023512,1.0339295170186802,1.0630019595516116,1.0756912068023512,0.9787984564250551,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
1,8000,wk,19,0.9771074293851257,1.0292754760133291,1.1423655436551694,1.040484112709441,1.120210094321446,1.1423655436551694,1.0118957429805904,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
1,8000,wq,19,0.9722703717157939,1.0236935256471829,1.1625353175779383,1.0464991495048301,1.1375926752074477,1.1625353175779383,0.9483029459858824,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
1,8000,wv,19,1.0001228560983633,1.056990759298305,1.0803867674881424,1.0337454547830636,1.071747529949692,1.0803867674881424,0.8986491906506793,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
2,500,wk,19,0.9892658308689476,1.029314753077319,1.0499608569958023,1.0159499672014407,1.0390137301267273,1.0499608569958023,1.0779481487398521,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
2,500,wq,19,1.0183913087677725,1.0357985977375037,1.0433515703701441,1.0196870380663368,1.0357985977375037,1.0433515703701441,1.0471996253443168,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
2,500,wv,19,1.009533461083459,1.0359557789368092,1.0823210390158167,1.0160761447021827,1.0359557789368092,1.0823210390158167,1.0686547750029232,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
2,2000,wk,19,0.986775073894962,1.0459176955691087,1.049810175910964,1.0452358472834975,1.0872568366443007,1.1196087782756805,0.8224017123175846,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
2,2000,wq,19,0.9783443917371706,1.043014890652961,1.0949587478649223,1.0348310309339983,1.0807805546462663,1.1102161372049573,0.9556966556944659,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
2,2000,wv,19,1.0089731061512777,1.0608432202759015,1.1393619641907566,1.0236620489199812,1.0608432202759015,1.1393619641907566,0.9681655778695807,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
2,8000,wk,19,0.9883020948961955,1.0330256477188675,1.0716526042537622,1.0292436269370138,1.0773797592111887,1.1162969847342765,0.9524268659317049,"layer_000.wk,layer_001.wk,layer_002.wk...(+16)"
2,8000,wq,19,0.9872412147089342,1.034080250539588,1.0857734061147866,1.0343283480808898,1.0937535472759754,1.134349640088553,0.8987515626842453,"layer_000.wq,layer_001.wq,layer_002.wq...(+16)"
2,8000,wv,19,1.0195645887338556,1.0574941141303915,1.1127848362378863,1.0352445537595911,1.1128835226270073,1.1338160335351832,0.9666494589394201,"layer_000.wv,layer_001.wv,layer_002.wv...(+16)"
