seed,step,suffix,arm,layer_head_count,median_cosine_full_split,p10_cosine_full_split,min_cosine_full_split,median_relative_l2_full_split,p90_relative_l2_full_split,max_relative_l2_full_split,median_max_abs_diff,median_update_norm_ratio_split_over_full,median_angular_step_full_rad,median_angular_step_split_rad,median_angular_step_ratio_split_over_full
1,500,wk,wqwk,38,0.7501498599363032,0.7035378537979912,0.6393802832947,0.7632793532141449,0.8593981599789535,1.0382768225807788,0.001442175882763954,1.131196490111385,1.6178409106247371,1.6126655784147326,0.9926037428321777
1,500,wq,wqwk,38,0.7475664592558258,0.6948231995911281,0.633453098213427,0.7590525921332265,0.8677310004989836,0.9843585340535715,0.001360649957642332,1.1193262487626408,1.634833414319393,1.614244059613791,0.98774682188204
1,500,wv,exploratory,38,0.7754564806888294,0.7428140817940256,0.7213658152869321,0.7213564836835044,0.7715726318653869,0.8014925679182634,0.0013904811876159634,1.116067839720842,1.6220111563359794,1.605903120155928,0.9870813914489718
1,2000,wk,wqwk,38,0.7785355699797258,0.7414773463589216,0.7254742008688749,0.6932823271724501,0.7496241709144468,0.8053083999180476,0.0013461650607101971,1.0562178624296914,1.6273260963871738,1.6183754381739683,0.9938895411212062
1,2000,wq,wqwk,38,0.7727499505156099,0.7359590481592684,0.7057461540778778,0.6941892651120211,0.7507382714357939,0.8007718234524942,0.0013617804714639373,1.0526043118099204,1.6339997088606235,1.6313147901474627,0.99862385400146
1,2000,wv,exploratory,38,0.780461878255693,0.7389954095937082,0.7206870185550821,0.6715181353250792,0.7365882878187552,0.7884959196395142,0.001347588214704657,1.0306153913818297,1.613970113488327,1.6019902984969596,0.995410171032187
1,8000,wk,wqwk,38,0.797316731772644,0.7449684537209026,0.7000072410721899,0.6367994285379697,0.7317792338123479,0.8307713797429555,0.001275891130211402,1.022286267700379,1.59955206344353,1.5964782461274953,1.0016483560397194
1,8000,wq,wqwk,38,0.8030977063334852,0.7393633038113567,0.6729288832076555,0.6332587849665108,0.74538207307492,0.8541666321505371,0.0013575196894067589,1.0164653006847968,1.5938500534778965,1.5987481575972926,1.0015447290690132
1,8000,wv,exploratory,38,0.7888964601594346,0.7561753127860689,0.7488901150592038,0.6699657312769759,0.7299461425391401,0.7468859525310014,0.0013081700714341529,1.037931052727334,1.5690622032991408,1.5638994443303595,0.996583725769134
2,500,wk,wqwk,38,0.7452493696112045,0.6980040936745552,0.599032158640585,0.7694755538310398,0.8845300645912327,1.172720472124698,0.0014312280953401,1.1185897653740615,1.6308757590199923,1.6093730829972284,0.9892156421339962
2,500,wq,wqwk,38,0.7412120415784944,0.6826636974569933,0.580429682007322,0.7865280104958212,0.9063495794799425,1.1560646405806745,0.0014826502412710277,1.1421200452895641,1.6270496300256836,1.6111075936429917,0.989378802497631
2,500,wv,exploratory,38,0.7689043555193001,0.7338098670804103,0.7174829857153271,0.719420192917085,0.768361203562183,0.7883979727861181,0.001419525673840086,1.0926864164852623,1.6478669398085717,1.628169917330412,0.9861293256853932
2,2000,wk,wqwk,38,0.7762874002459057,0.7372931998669768,0.6990088181743479,0.6942052609817416,0.7695806275467119,0.8384431141914973,0.001356287028127453,1.0508870314071523,1.6366982668660024,1.6241422917046335,0.9940629872173843
2,2000,wq,wqwk,38,0.7743519471920515,0.7167894164835251,0.6894015533896738,0.6955322564842464,0.8029507495036522,0.8438463656539792,0.0013684047883453633,1.052164240287131,1.629770943661046,1.6225488027103445,0.9959155545525246
2,2000,wv,exploratory,38,0.775817875589458,0.7448199840559546,0.7141213918561455,0.6808191856304051,0.7363062259684212,0.7861056596479762,0.00141746048441245,1.0275991112946583,1.6013495698584514,1.590859456882359,0.9948401404983782
2,8000,wk,wqwk,38,0.8042039897919745,0.7563961067004964,0.6831949391648473,0.6320468507186403,0.717732471707681,0.8519546019095576,0.0012980832241904008,1.0353710215772851,1.5818195012075824,1.5879086079521167,0.9997173024336199
2,8000,wq,wqwk,38,0.8049670459807339,0.7520308975684842,0.6733771959513066,0.6320990490139218,0.7147114879193601,0.8484015075229774,0.0013128633550287027,1.0183201963447477,1.5770619603221507,1.5771399783510942,1.0025703898423703
2,8000,wv,exploratory,38,0.7875103369583225,0.7472515027429175,0.7193141954076329,0.6654459264751642,0.7425121927480883,0.7674029277955599,0.001372654533066126,1.0425057756828187,1.5763962524172848,1.5736300267418084,0.9982685465375656
