seed,step,suffix,shape_rows,shape_cols,semantic_shape,vocab_axis,model_axis,vocab_extent,model_extent,parameter_count,adam_m_bytes,adam_v_bytes,total_optimizer_state_bytes,weight_rms,weight_frobenius,weight_spectral,momentum_rms,momentum_frobenius,adam_v_rms,update_rms_approx,update_frobenius_approx,update_weight_ratio_approx,vocab_dir_norm_mean,vocab_dir_norm_median,vocab_dir_norm_p90,vocab_dir_norm_max,vocab_dir_norm_min,vocab_dir_norm_rms,vocab_dir_norm_cv
1,500,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.12194834382700731,31.218776019713854,7.47008224004665,0.0003736024076211517,0.09564221635101483,2.297671466961311e-06,0.3846110320718086,98.46042421038297,3.1538848335440104,0.9714810281845212,0.966248102199501,1.0869502023763256,1.2578762828889718,0.6876013739796933,0.9755867506160585,0.09203457345495197
1,500,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.1079713495630546,27.640665488141963,12.42955949176546,0.0007682954281844848,0.19668362961522812,1.0177098390122516e-05,0.3833075811552339,98.12674077573985,3.5500860432552503,0.8497432074527134,0.811035035831678,1.0736440317679676,1.4609385802337977,0.48521155145858547,0.8637707965044366,0.18245158670790237
1,2000,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.15509748557456296,39.70495630708811,10.56037381452448,0.0003552620309337519,0.09094707991904045,4.307509791146358e-06,0.22143022332720583,56.68613717176467,1.4276841594621044,1.2295301065728201,1.2428539207208074,1.4228422154715619,1.7092497748817401,0.6876013739796933,1.2407798845965037,0.13558402943194894
1,2000,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.13105774170641993,33.55078187684349,16.475851619600007,0.0007408223895379489,0.18965053172171487,2.3862564265472454e-05,0.23013224467624938,58.913854637119826,1.7559607061730431,1.0216847837306604,0.978090865863983,1.3754961867733164,1.8210015063317706,0.5888835191553862,1.0484619336513594,0.23044421640919513
1,8000,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.2046549320005129,52.39166259213128,14.19244884726551,0.00032886515854627026,0.08418948058784517,3.987604720310036e-06,0.21218305139088214,54.31886115606582,1.0367844513532194,1.6126915509640622,1.6515179851083333,1.9133256179735385,2.3620731704814313,0.6876013739796933,1.6372394560041033,0.17514307781569588
1,8000,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.16125970432576386,41.28248430739553,21.49390644208057,0.0006983400279890285,0.1787750471651913,2.3243485620994275e-05,0.2152102120508008,55.09381428500498,1.3345566578495671,1.2481272439642646,1.1780030579152,1.6868329827949922,2.34712559461256,0.6740191593603801,1.2900776346061107,0.26144026731377185
2,500,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.12160170465866155,31.130036392617342,7.6240554695312746,0.00037284041632370396,0.09544714657886819,2.301447568768188e-06,0.3878590041363745,99.29190505891184,3.1895852547881844,0.9690767345999848,0.9647695493840746,1.0776264725374658,1.278682169178902,0.7395346785086937,0.9728136372692924,0.08790429196538095
2,500,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.10690890487510053,27.368679648025726,12.335363219804652,0.0007716040587915526,0.19753063905063745,9.603484303880188e-06,0.386980871779676,99.06710317559703,3.6197253374896863,0.8408586987637153,0.8050911172937381,1.0397873776031339,1.4794257561164088,0.5124116452279458,0.8552712390008042,0.1859417032877505
2,2000,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.1546502023067322,39.59045179052344,10.445077087417372,0.000351738983989468,0.09004517990130378,4.416792514419095e-06,0.22327959188096638,57.15957552152739,1.4437717413270181,1.2263430554289365,1.2412017590103934,1.4184657659521123,1.6440264960968067,0.7395346785086937,1.2372016184538577,0.13336885516158442
2,2000,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.1300169958012799,33.28435092512764,16.453886640173266,0.0007381822842185034,0.18897466475993688,2.2180730497393042e-05,0.23345854355472798,59.76538715001035,1.7956001991581922,1.0124729701491664,0.9603794821023552,1.3265478965089637,1.8637890850096273,0.6328070518491665,1.040135966410239,0.23535275094715183
2,8000,token_embedding,1024,64,VOCABULARYxMODEL,0,1,1024,64,65536,262144,262144,524288,0.20349526579975508,52.09478804473728,13.74481543638447,0.00033059599621182824,0.08463257503022802,3.958450747673239e-06,0.21567122362916313,55.21183324906575,1.0598341085801455,1.6049417076899957,1.6452503640571297,1.8881964884368196,2.1808256599399396,0.7395346785086937,1.6279621263980408,0.1699784008865187
2,8000,output_projection,64,1024,MODELxVOCABULARY,1,0,1024,64,65536,262144,262144,524288,0.16065950032651663,41.12883208358824,21.55309572609873,0.0006908594534480347,0.17686002008269688,2.1228408503147257e-05,0.21395093577889054,54.77143955939597,1.3317042275375375,1.2424183242089546,1.1643549435516363,1.6660367765315554,2.412383916932474,0.7193761838107287,1.285276002612133,0.2649163419736324
