seed,step,suffix,rows,columns,update_matrix_bytes,working_bytes_estimate_2x,before_row_norm_mean,before_row_norm_cv,after_row_norm_mean,after_row_norm_cv,before_col_norm_mean,before_col_norm_cv,after_col_norm_mean,after_col_norm_cv,cosine_to_original_update,relative_l2_to_original_update,note
1,500,token_embedding,1024,64,262144,524288,2.4208626992416677,0.7844815824272079,0.23046875,0.29111125486852785,12.276265409029428,0.07144052639507131,0.9601279400866896,0.005641454181830534,0.8175905553274212,0.9372947002706458,diagnostic_only_not_applied_to_training
1,500,output_projection,64,1024,262144,524288,12.173106427121343,0.1236700172035973,4.0,2.1588771306896508e-16,2.595849561875467,0.6288519133226949,1.0,1.0665375630522518e-16,0.8349424968433784,0.7495216424410821,diagnostic_only_not_applied_to_training
1,2000,token_embedding,1024,64,262144,524288,1.4177613784412841,0.7491063065434344,0.232666015625,0.2729497645653401,7.0750106316401205,0.05516355509399737,0.9647036669337612,0.0034219180159631504,0.8287611169444121,0.8904317302142629,diagnostic_only_not_applied_to_training
1,2000,output_projection,64,1024,262144,524288,7.3475891637175375,0.06734413805679663,4.0,4.886873367541846e-16,1.5625255527817796,0.6231304031109641,1.0,1.138591934721595e-16,0.8428204317347171,0.6159923103942393,diagnostic_only_not_applied_to_training
1,8000,token_embedding,1024,64,262144,524288,1.3831940025881813,0.7113616049348259,0.233642578125,0.2645948777285661,6.786689773166584,0.030557684340101973,0.9667304122346201,0.0016751642331200712,0.8426660516354935,0.8833550607253186,diagnostic_only_not_applied_to_training
1,8000,output_projection,64,1024,262144,524288,6.881853098366154,0.037641593921215515,4.0,3.1031676915583155e-17,1.4655193341130195,0.6165535973902718,1.0,5.215722429770903e-17,0.8491973928052483,0.5923564897597692,diagnostic_only_not_applied_to_training
2,500,token_embedding,1024,64,262144,524288,2.440982726680126,0.7847546505726343,0.23046875,0.29111125486852785,12.379748782866763,0.07165331322189421,0.9601281311865314,0.005606061105321347,0.8177478963047923,0.9377972856164164,diagnostic_only_not_applied_to_training
2,500,output_projection,64,1024,262144,524288,12.28260018231298,0.12836976387510546,4.0,8.441528768078214e-17,2.613801784987314,0.6347108502796409,1.0,7.169257659669622e-17,0.8320876190065767,0.7528524247874108,diagnostic_only_not_applied_to_training
2,2000,token_embedding,1024,64,262144,524288,1.4278744898876763,0.7516255601620347,0.232666015625,0.2729497645653401,7.1346846036068,0.05365458605169263,0.9647047114931002,0.003089327798256643,0.8279209909879188,0.8914364203761008,diagnostic_only_not_applied_to_training
2,2000,output_projection,64,1024,262144,524288,7.453516655755502,0.06788932938350939,4.0,5.192592726317732e-17,1.5791031886419242,0.6315644643028581,1.0,6.312105490597512e-17,0.8413374141659015,0.6210737129654244,diagnostic_only_not_applied_to_training
2,8000,token_embedding,1024,64,262144,524288,1.4025860885130563,0.7164016545947933,0.233642578125,0.2645948777285661,6.898487362813146,0.029454451341850353,0.9667310604229677,0.0012104469767038448,0.840770777529135,0.8854815839436763,diagnostic_only_not_applied_to_training
2,8000,output_projection,64,1024,262144,524288,6.842997479287124,0.031677387768064155,4.0,1.3877787807810987e-17,1.4621481294822214,0.6085485994297058,1.0,5.615790491042015e-17,0.8525822251767299,0.5874587857343418,diagnostic_only_not_applied_to_training
