"arm","process","variant","graph_boundary","repeats","qnn_execute_successes","qnn_execute_return_code","app_write_hashes_unchanged","app_read_tensors_audited","app_read_poison_residual_elements","nonfinite_elements","embedding_input_gradient_unique_canonical_hashes","embedding_input_gradient_canonical_hash_frequencies","embedding_input_gradient_repeat_max_abs_difference","embedding_input_gradient_first_different_run","embedding_input_gradient_first_different_index"
"full_first_sequential","9","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","11","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","11","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","11","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","12","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","12","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","12","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","14","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","14","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","14","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","15","full","lm_output_projection_next","100","100","0","True","31","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","15","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","15","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","16","full","lm_output_projection_next","100","100","0","True","31","0","0","2","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:48,bede9fc5209c633890034315ef38adab5bc260df9f1fdc01a4502c74f45dadb1:52","950.488281","49","0"
"full_first_sequential","16","stop_after_dinput","lm_dinput","100","100","0","True","18","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
"full_first_sequential","16","stop_after_dembedding","lm_dembedding","100","100","0","True","19","0","0","1","98086e40e683c3f5d2ae59934332421406eeeb54da29d56df376f70330e33a28:100","0","-1","-1"
