"configuration_id","step","gradient_norm","embedding_norm","output_norm","attention_share","ffn_share","norm_share","output_share"
"L19_SEED_1","1","2.2787449035018454","0.4232540258344486","0.91971454479001069","0.44024327534947583","0.35882367795565501","0.0035361065978953333","0.16289760106234502"
"L19_SEED_1","24","5.9890033426109168","1.0536528000544287","5.5404527524728566","0.069437248990030787","0.042787960398435007","0.0010050202873044145","0.85581796819831601"
"L19_SEED_1","25","2.9245569626432859","0.49645621290200875","2.7347837959531431","0.043466263589528722","0.052480804719983946","0.00080483296612399874","0.87443156557140245"
"L19_SEED_1","28","19.044389486068273","11.936076060783025","4.3224757939095326","0.36179078514687035","0.18396397581299226","0.009914667902970152","0.051514682802893737"
"L19_SEED_1","29","3.2903525635073181","0.50309131372378879","3.0958598971153433","0.035641259988451579","0.054918130883766819","0.00078849886254553814","0.88527403421358053"
"L19_SEED_1","320","0.017302800428774551","0.0012294427529773136","0.016719137245946036","0.023091013830278784","0.036987395968668131","0.0011995645622223119","0.93367327611329087"
"L19_SEED_2","1","2.019042602116746","0.4443444021403074","0.62044289404834141","0.4390008506424723","0.41407350553974043","0.0040612714890832825","0.09443058158029452"
"L19_SEED_2","24","5.6298710554785156","0.35762935649019784","5.4964348792526234","0.017259190005497974","0.025310835452141037","0.00023589918142915295","0.95315883483633779"
"L19_SEED_2","25","33.020836236984778","19.700299704984182","4.6676569394783112","0.42280219516623369","0.19075333541581665","0.010529215925397644","0.019981207199931246"
"L19_SEED_2","28","6.1999400326221066","0.67100269263098289","5.6798277716317758","0.080723080182345197","0.067046595809758219","0.0012594368079021001","0.83925774143209053"
"L19_SEED_2","29","11.788511067672061","2.3705765231577396","10.870782756063196","0.06885040924668108","0.038615911009782899","0.0017338837769943938","0.85036176066785329"
"L19_SEED_2","320","0.02268726930194389","0.00075533073633270577","0.022199437996693255","0.014555318144791649","0.02605843904460637","0.00082030435053982969","0.95745750439898847"
"L19_SEED_4","1","2.4425124808279697","0.54860307882306913","0.59631191964977004","0.46643946157440752","0.41912660115640843","0.0043823354635786757","0.059603724398005216"
"L19_SEED_4","24","10.600355982362215","4.7114896015818868","5.9086353732232793","0.36405295231598955","0.1217639693785629","0.0059393034056761766","0.31069443910143762"
"L19_SEED_4","25","3.9944816166875148","0.36586403556570979","3.76329905479317","0.024456755724553261","0.07885447920177327","0.00070100166205375744","0.88759860128992729"
"L19_SEED_4","28","12.663448741200321","2.0943388117087194","11.755793650079875","0.07231863740825914","0.037471077331673923","0.0010712814625385286","0.86178695336887456"
"L19_SEED_4","29","8.9957761120702173","4.8303933253402063","4.9570416624259872","0.27078204336509493","0.1319765158697366","0.0052666383828796383","0.30364620792038838"
"L19_SEED_4","320","0.022160168215399546","0.00074824929100647617","0.021841107910043216","0.0083304152009827086","0.018497926764907205","0.00062008642725509171","0.9714114622170007"
"L18_SEED_2_CONTROL","1","1.8778150349608191","0.44947795815501834","0.64785493674417427","0.40368621699308316","0.41598813718712124","0.0040031628048202463","0.11902821507801035"
"L18_SEED_2_CONTROL","24","5.6145734309002542","0.43593797115957728","5.3996523416648019","0.031026728792516303","0.037599117272972729","0.00043856580718019137","0.924906996514827"
"L18_SEED_2_CONTROL","25","6.5364294354008372","1.5215539720993039","5.7033087390505033","0.11371287036908935","0.068642025857718822","0.0021288802065737968","0.76132941538374199"
"L18_SEED_2_CONTROL","28","5.6613369673942699","0.63055633936519617","5.4409858265273039","0.031179574848140889","0.03221801162383834","0.00052631781163316291","0.92367072399861261"
"L18_SEED_2_CONTROL","29","36.629662713312385","21.867890032747781","3.908458790403829","0.41630864606897616","0.20443746244248634","0.011460178184217107","0.011385319830997314"
"L18_SEED_2_CONTROL","320","0.032098375951837246","0.0014938769818247798","0.031122440253055023","0.018955732703134689","0.037441022000718985","0.001321824128956661","0.94011539573133873"
