"configuration_id","max_gradient_step","max_gradient_norm","attention_gradient_share","ffn_gradient_share","output_gradient_share","classification"
"L18_SEED_2_CONTROL","29","36.629662713312385","0.41630864606897616","0.20443746244248634","0.011385319830997314","EARLY_SHOCK_NOT_DEPTH_SPECIFIC"
"L19_SEED_1","28","19.044389486068273","0.36179078514687035","0.18396397581299226","0.051514682802893737","EARLY_SHOCK_NOT_DEPTH_SPECIFIC"
"L19_SEED_2","25","33.020836236984778","0.42280219516623369","0.19075333541581665","0.019981207199931246","EARLY_SHOCK_NOT_DEPTH_SPECIFIC"
"L19_SEED_4","28","12.663448741200321","0.07231863740825914","0.037471077331673923","0.86178695336887456","EARLY_SHOCK_NOT_DEPTH_SPECIFIC"
